Teams	CMM	WP
1	0.579807	0.604651
2	0.512666	0.511628
3	0.303811	0.255814
4	0.480856	0.452381
5	0.582034	0.585366
6	0.703603	0.731707
7	0.559599	0.568182
8	0.399882	0.380952
9	0.530963	0.534884
10	0.854386	0.906977
11	0.497264	0.5
12	0.540652	0.547619
13	0.618944	0.642857
14	0.222349	0.204545
15	0.564403	0.55814
16	0.530997	0.534884
17	0.45595		0.431818
18	0.296764	0.295455
19	0.383312	0.357143
20	0.495177	0.5
21	0.682487	0.727273
22	0.46158		0.487805
23	0.172381	0.136364
24	0.314678	0.302326
25	0.418575	0.422222
26	0.453983	0.439024
27	0.801749	0.857143
28	0.626301	0.642857
29	0.440679	0.428571
30	0.514167	0.487805
