k,1
alpha,0
Hit Rate Avg,0.96769
Hit Rate STD,0.00235714
Precision Avg,0.967853
Precision STD,0.00254777
Recall Avg,0.967182
Recall STD,0.00257275
F1 Score Avg,0.967517
F1 Score STD,0.00255757
Default Process Time Avg,3436
Default Process Time STD,254.946
KNN Total Time Avg,240778
KNN Total Time STD,4221.88
KNN Per Image Time Avg,56.9
KNN Per Image Time STD,1.04403
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4098,2,4,1,0,5,16,0,3,3,
1,0,4653,11,2,3,1,1,7,4,2,
2,26,21,4020,24,4,3,6,56,12,5,
3,3,6,26,4167,0,72,1,23,33,20,
4,3,31,0,0,3920,1,14,7,1,95,
5,9,4,1,63,7,3636,42,2,9,22,
6,19,6,0,0,7,19,4084,0,2,0,
7,0,37,17,3,11,0,0,4281,0,52,
8,11,34,17,73,12,53,16,11,3785,51,
9,12,6,4,22,62,9,2,65,7,3999,
----,-----,----
----,-----,----
k,2
alpha,0
Hit Rate Avg,0.96769
Hit Rate STD,0.00235714
Precision Avg,0.967853
Precision STD,0.00254777
Recall Avg,0.967182
Recall STD,0.00257275
F1 Score Avg,0.967517
F1 Score STD,0.00255757
Default Process Time Avg,3436
Default Process Time STD,254.946
KNN Total Time Avg,240778
KNN Total Time STD,4221.88
KNN Per Image Time Avg,56.9
KNN Per Image Time STD,1.04403
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4098,2,4,1,0,5,16,0,3,3,
1,0,4653,11,2,3,1,1,7,4,2,
2,26,21,4020,24,4,3,6,56,12,5,
3,3,6,26,4167,0,72,1,23,33,20,
4,3,31,0,0,3920,1,14,7,1,95,
5,9,4,1,63,7,3636,42,2,9,22,
6,19,6,0,0,7,19,4084,0,2,0,
7,0,37,17,3,11,0,0,4281,0,52,
8,11,34,17,73,12,53,16,11,3785,51,
9,12,6,4,22,62,9,2,65,7,3999,
----,-----,----
----,-----,----
k,3
alpha,0
Hit Rate Avg,0.96819
Hit Rate STD,0.0023695
Precision Avg,0.968563
Precision STD,0.00246411
Recall Avg,0.967642
Recall STD,0.00254821
F1 Score Avg,0.968103
F1 Score STD,0.00249883
Default Process Time Avg,3436
Default Process Time STD,254.946
KNN Total Time Avg,240778
KNN Total Time STD,4221.88
KNN Per Image Time Avg,56.9
KNN Per Image Time STD,1.04403
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4109,2,3,0,1,4,10,0,1,2,
1,0,4664,8,2,2,0,0,4,2,2,
2,35,33,4030,15,1,2,4,47,5,5,
3,3,8,30,4214,0,37,1,18,24,16,
4,3,39,0,0,3952,1,12,4,0,61,
5,11,5,1,75,7,3636,35,3,4,18,
6,24,7,1,0,8,24,4073,0,0,0,
7,0,49,18,3,13,0,0,4283,0,35,
8,13,46,21,82,15,78,19,13,3740,36,
9,14,6,4,27,72,10,2,82,8,3963,
----,-----,----
----,-----,----
k,4
alpha,0
Hit Rate Avg,0.969786
Hit Rate STD,0.0031415
Precision Avg,0.97007
Precision STD,0.00331637
Recall Avg,0.96932
Recall STD,0.00322111
F1 Score Avg,0.969695
F1 Score STD,0.00326637
Default Process Time Avg,3436
Default Process Time STD,254.946
KNN Total Time Avg,240778
KNN Total Time STD,4221.88
KNN Per Image Time Avg,56.9
KNN Per Image Time STD,1.04403
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4105,2,3,0,1,5,13,0,1,2,
1,0,4657,8,2,3,0,2,7,2,3,
2,28,33,4016,14,2,2,4,65,8,5,
3,3,8,25,4208,0,40,3,20,25,19,
4,3,37,0,0,3937,0,15,6,0,74,
5,10,3,1,55,4,3649,43,3,5,22,
6,18,5,1,0,7,19,4087,0,0,0,
7,0,46,12,1,11,0,0,4291,0,40,
8,12,43,16,58,17,79,18,9,3774,37,
9,11,6,4,25,54,10,2,61,8,4007,
----,-----,----
----,-----,----
k,5
alpha,0
Hit Rate Avg,0.9705
Hit Rate STD,0.00292857
Precision Avg,0.97082
Precision STD,0.00309811
Recall Avg,0.970063
Recall STD,0.00298789
F1 Score Avg,0.970441
F1 Score STD,0.00304111
Default Process Time Avg,3436
Default Process Time STD,254.946
KNN Total Time Avg,240778
KNN Total Time STD,4221.88
KNN Per Image Time Avg,56.9
KNN Per Image Time STD,1.04403
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4103,2,3,0,1,5,13,2,1,2,
1,0,4658,8,2,3,0,2,7,1,3,
2,25,35,4011,13,3,2,4,70,9,5,
3,3,8,21,4209,0,44,3,22,22,19,
4,3,37,0,0,3924,0,15,6,1,86,
5,9,3,1,46,2,3655,45,3,7,24,
6,18,5,1,0,6,18,4089,0,0,0,
7,1,46,12,0,9,0,0,4288,0,45,
8,11,43,14,52,16,68,15,7,3798,39,
9,11,5,5,26,44,11,2,53,5,4026,
----,-----,----
----,-----,----
k,6
alpha,0
Hit Rate Avg,0.970286
Hit Rate STD,0.00328157
Precision Avg,0.970658
Precision STD,0.00340999
Recall Avg,0.969855
Recall STD,0.00330647
F1 Score Avg,0.970256
F1 Score STD,0.00335668
Default Process Time Avg,3436
Default Process Time STD,254.946
KNN Total Time Avg,240778
KNN Total Time STD,4221.88
KNN Per Image Time Avg,56.9
KNN Per Image Time STD,1.04403
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4104,2,2,0,1,5,13,2,1,2,
1,0,4659,8,2,1,0,2,8,1,3,
2,27,36,4005,13,3,2,4,74,10,3,
3,3,9,21,4206,0,45,3,24,21,19,
4,2,37,0,0,3922,0,16,7,1,87,
5,9,3,2,47,2,3656,45,3,6,22,
6,18,5,1,0,6,17,4090,0,0,0,
7,1,47,12,1,9,0,0,4283,0,48,
8,11,43,13,51,15,65,15,7,3804,39,
9,13,5,5,26,42,11,2,55,6,4023,
----,-----,----
----,-----,----
k,7
alpha,0
Hit Rate Avg,0.970024
Hit Rate STD,0.00323398
Precision Avg,0.970505
Precision STD,0.00338988
Recall Avg,0.969571
Recall STD,0.00325933
F1 Score Avg,0.970038
F1 Score STD,0.00332182
Default Process Time Avg,3436
Default Process Time STD,254.946
KNN Total Time Avg,240778
KNN Total Time STD,4221.88
KNN Per Image Time Avg,56.9
KNN Per Image Time STD,1.04403
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4104,2,2,0,1,5,13,2,1,2,
1,0,4660,8,1,1,0,2,8,1,3,
2,28,42,3997,14,3,2,4,74,10,3,
3,4,11,20,4209,0,41,3,25,19,19,
4,2,42,0,0,3923,0,15,7,0,83,
5,9,3,2,48,2,3655,45,3,6,22,
6,18,5,1,0,5,17,4091,0,0,0,
7,1,50,12,1,9,0,0,4281,0,47,
8,12,47,11,50,14,63,17,8,3801,40,
9,13,5,5,28,43,10,2,56,6,4020,
----,-----,----
----,-----,----
k,8
alpha,0
Hit Rate Avg,0.969643
Hit Rate STD,0.00326156
Precision Avg,0.970179
Precision STD,0.00343275
Recall Avg,0.969174
Recall STD,0.00329283
F1 Score Avg,0.969676
F1 Score STD,0.00335869
Default Process Time Avg,3436
Default Process Time STD,254.946
KNN Total Time Avg,240778
KNN Total Time STD,4221.88
KNN Per Image Time Avg,56.9
KNN Per Image Time STD,1.04403
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4105,2,2,0,1,5,13,2,0,2,
1,0,4659,8,1,1,0,3,8,1,3,
2,28,44,3992,13,3,2,5,76,10,4,
3,4,12,20,4206,0,42,3,24,20,20,
4,2,43,0,0,3923,0,16,8,0,80,
5,9,5,2,48,2,3653,45,3,6,22,
6,16,5,1,0,5,17,4093,0,0,0,
7,1,54,12,1,7,0,0,4279,0,47,
8,13,47,11,51,15,65,16,9,3795,41,
9,13,6,4,28,41,12,2,57,5,4020,
----,-----,----
----,-----,----
k,9
alpha,0
Hit Rate Avg,0.96919
Hit Rate STD,0.00339601
Precision Avg,0.969769
Precision STD,0.00355272
Recall Avg,0.968708
Recall STD,0.00341964
F1 Score Avg,0.969238
F1 Score STD,0.00348162
Default Process Time Avg,3436
Default Process Time STD,254.946
KNN Total Time Avg,240778
KNN Total Time STD,4221.88
KNN Per Image Time Avg,56.9
KNN Per Image Time STD,1.04403
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4104,2,2,0,1,5,14,2,0,2,
1,0,4659,8,1,1,0,3,8,1,3,
2,28,46,3985,14,3,2,6,80,9,4,
3,4,12,20,4200,0,42,4,24,23,22,
4,2,43,0,0,3918,0,16,9,0,84,
5,9,6,2,44,2,3650,46,4,6,26,
6,17,5,1,0,5,17,4092,0,0,0,
7,1,56,12,1,7,0,0,4276,0,48,
8,12,48,11,52,15,64,17,9,3796,39,
9,13,6,3,28,40,10,2,55,5,4026,
----,-----,----
----,-----,----
k,10
alpha,0
Hit Rate Avg,0.968762
Hit Rate STD,0.00327984
Precision Avg,0.969402
Precision STD,0.0034108
Recall Avg,0.968283
Recall STD,0.00333092
F1 Score Avg,0.968842
F1 Score STD,0.00336534
Default Process Time Avg,3436
Default Process Time STD,254.946
KNN Total Time Avg,240778
KNN Total Time STD,4221.88
KNN Per Image Time Avg,56.9
KNN Per Image Time STD,1.04403
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4104,2,2,0,1,5,14,2,0,2,
1,0,4659,8,1,1,0,3,9,1,2,
2,30,48,3981,13,3,2,5,81,10,4,
3,4,13,19,4200,0,41,4,25,24,21,
4,2,46,0,0,3913,0,16,9,0,86,
5,9,6,2,41,2,3651,48,4,6,26,
6,18,6,1,0,5,16,4090,0,1,0,
7,1,58,13,1,7,0,0,4270,0,51,
8,12,50,11,51,15,64,18,8,3792,42,
9,13,6,3,29,38,10,2,54,5,4028,
----,-----,----
----,-----,----
k,11
alpha,0
Hit Rate Avg,0.968476
Hit Rate STD,0.00325102
Precision Avg,0.969145
Precision STD,0.00340364
Recall Avg,0.967993
Recall STD,0.00330349
F1 Score Avg,0.968569
F1 Score STD,0.00334762
Default Process Time Avg,3436
Default Process Time STD,254.946
KNN Total Time Avg,240778
KNN Total Time STD,4221.88
KNN Per Image Time Avg,56.9
KNN Per Image Time STD,1.04403
Preprocess Dimension Time Avg,0
