k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Hit Rate Avg,0.970476,0.970476,0.972262,0.974071,0.9745,0.974167,0.972714,0.970476,0.968738,0.965595,0.961667,0.957738,0.953214,0.949524
Hit Rate STD,0.00363125,0.00363125,0.00272148,0.00192975,0.00263512,0.00255828,0.00272346,0.00287494,0.00328546,0.00378452,0.0033503,0.0031806,0.00314655,0.00336043
Precision Avg,0.970279,0.970279,0.972155,0.973973,0.974428,0.974164,0.972734,0.970542,0.968873,0.965785,0.961952,0.958207,0.953883,0.950353
Precision STD,0.00376241,0.00376241,0.00279012,0.00192843,0.00263219,0.00256362,0.00271417,0.00287726,0.0032927,0.00383448,0.00345726,0.00332866,0.00334036,0.00347023
Recall Avg,0.970195,0.970195,0.971977,0.973875,0.974286,0.973981,0.972462,0.970185,0.968443,0.965284,0.961306,0.957359,0.952744,0.949056
Recall STD,0.00380879,0.00380879,0.00286604,0.00200709,0.00267591,0.00261344,0.00278169,0.00295402,0.00337459,0.00394149,0.00356812,0.00339058,0.0033284,0.00349895
F1 Score Avg,0.970237,0.970237,0.972066,0.973924,0.974357,0.974072,0.972598,0.970364,0.968658,0.965535,0.961629,0.957783,0.953313,0.949704
F1 Score STD,0.00378343,0.00378343,0.00282424,0.00196497,0.00265193,0.00258622,0.00274561,0.00291308,0.00333169,0.00388558,0.00350907,0.00335575,0.00332962,0.00347962
Default Process Time Avg,369206,369206,369206,369206,369206,369206,369206,369206,369206,369206,369206,369206,369206,369206
Default Process Time STD,26903.8,26903.8,26903.8,26903.8,26903.8,26903.8,26903.8,26903.8,26903.8,26903.8,26903.8,26903.8,26903.8,26903.8
KNN Total Time Avg,15432.8,15432.8,15432.8,15432.8,15432.8,15432.8,15432.8,15432.8,15432.8,15432.8,15432.8,15432.8,15432.8,15432.8
KNN Total Time STD,533.617,533.617,533.617,533.617,533.617,533.617,533.617,533.617,533.617,533.617,533.617,533.617,533.617,533.617
KNN Per Image Time Avg,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
KNN Per Image Time STD,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Preprocess Dimension Time Avg,19640.6,19640.6,19640.6,19640.6,19640.6,19640.6,19640.6,19640.6,19640.6,19640.6,19640.6,19640.6,19640.6,19640.6
Preprocess Dimension Time STD,567.495,567.495,567.495,567.495,567.495,567.495,567.495,567.495,567.495,567.495,567.495,567.495,567.495,567.495
TC Time Avg,817.9,817.9,817.9,817.9,817.9,817.9,817.9,817.9,817.9,817.9,817.9,817.9,817.9,817.9
TC Time STD,28.2186,28.2186,28.2186,28.2186,28.2186,28.2186,28.2186,28.2186,28.2186,28.2186,28.2186,28.2186,28.2186,28.2186
