k,1
alpha/gamma,300
Hit Rate Avg,0.968262
Hit Rate STD,0.00244451
Precision Avg,0.968385
Precision STD,0.00264637
Recall Avg,0.967788
Recall STD,0.00264672
F1 Score Avg,0.968087
F1 Score STD,0.00264446
Default Process Time Avg,365730
Default Process Time STD,11835.8
KNN Total Time Avg,85417.2
KNN Total Time STD,466.068
KNN Per Image Time Avg,20
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,234676
Preprocess Dimension Time STD,2906.51
TC Time Avg,9660.5
TC Time STD,145.832
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4101,2,4,1,0,5,14,0,2,3,
1,0,4653,11,2,3,1,1,7,4,2,
2,24,19,4031,24,4,2,4,54,10,5,
3,4,6,27,4166,0,71,1,23,33,20,
4,3,31,0,0,3918,1,15,8,1,95,
5,8,4,1,60,7,3643,43,1,8,20,
6,18,6,2,0,7,20,4083,0,1,0,
7,0,36,17,3,10,0,0,4284,0,51,
8,13,32,18,70,11,57,15,12,3784,51,
9,12,5,4,23,61,8,2,62,7,4004,
----,-----,----
----,-----,----
k,2
alpha/gamma,300
Hit Rate Avg,0.968262
Hit Rate STD,0.00244451
Precision Avg,0.968385
Precision STD,0.00264637
Recall Avg,0.967788
Recall STD,0.00264672
F1 Score Avg,0.968087
F1 Score STD,0.00264446
Default Process Time Avg,365730
Default Process Time STD,11835.8
KNN Total Time Avg,85417.2
KNN Total Time STD,466.068
KNN Per Image Time Avg,20
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,234676
Preprocess Dimension Time STD,2906.51
TC Time Avg,9660.5
TC Time STD,145.832
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4101,2,4,1,0,5,14,0,2,3,
1,0,4653,11,2,3,1,1,7,4,2,
2,24,19,4031,24,4,2,4,54,10,5,
3,4,6,27,4166,0,71,1,23,33,20,
4,3,31,0,0,3918,1,15,8,1,95,
5,8,4,1,60,7,3643,43,1,8,20,
6,18,6,2,0,7,20,4083,0,1,0,
7,0,36,17,3,10,0,0,4284,0,51,
8,13,32,18,70,11,57,15,12,3784,51,
9,12,5,4,23,61,8,2,62,7,4004,
----,-----,----
----,-----,----
k,3
alpha/gamma,300
Hit Rate Avg,0.96881
Hit Rate STD,0.00249716
Precision Avg,0.969125
Precision STD,0.0025779
Recall Avg,0.968293
Recall STD,0.00265634
F1 Score Avg,0.968709
F1 Score STD,0.00261045
Default Process Time Avg,365730
Default Process Time STD,11835.8
KNN Total Time Avg,85417.2
KNN Total Time STD,466.068
KNN Per Image Time Avg,20
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,234676
Preprocess Dimension Time STD,2906.51
TC Time Avg,9660.5
TC Time STD,145.832
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4108,2,3,0,0,4,12,0,1,2,
1,0,4663,8,2,2,0,0,4,3,2,
2,35,28,4035,15,2,2,2,48,5,5,
3,4,8,31,4213,0,39,1,17,22,16,
4,3,38,0,0,3951,1,12,4,0,63,
5,10,5,1,70,7,3644,36,1,5,16,
6,23,7,2,0,8,23,4073,0,1,0,
7,0,48,18,3,12,0,0,4288,0,32,
8,15,45,20,79,14,77,18,13,3746,36,
9,14,5,4,27,73,10,2,76,8,3969,
----,-----,----
----,-----,----
k,4
alpha/gamma,300
Hit Rate Avg,0.9705
Hit Rate STD,0.00286398
Precision Avg,0.970772
Precision STD,0.00301795
Recall Avg,0.970043
Recall STD,0.00291449
F1 Score Avg,0.970407
F1 Score STD,0.00296375
Default Process Time Avg,365730
