k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Hit Rate Avg,0.374857,0.374857,0.392238,0.40181,0.411619,0.424,0.432714,0.437952,0.443571,0.45081,0.455524,0.459095,0.463286,0.464238
Hit Rate STD,0.00293292,0.00293292,0.00345066,0.00483714,0.0037613,0.00405224,0.00527337,0.00538822,0.00412049,0.00410354,0.00422483,0.00378908,0.0036434,0.00419926
Precision Avg,0.366972,0.366972,0.373636,0.38358,0.392236,0.403976,0.411449,0.416368,0.421841,0.429942,0.43579,0.439866,0.444716,0.446021
Precision STD,0.00261838,0.00261838,0.00317183,0.00462427,0.00297545,0.0045256,0.00661213,0.00683097,0.00582533,0.00514971,0.00389151,0.00299225,0.00322475,0.00364605
Recall Avg,0.366788,0.366788,0.383705,0.393344,0.403014,0.415309,0.424005,0.42924,0.434921,0.442289,0.447136,0.450791,0.455084,0.455991
Recall STD,0.00312349,0.00312349,0.00425921,0.0058954,0.00458069,0.00563233,0.00738898,0.00771718,0.00634849,0.00550047,0.00403646,0.0023439,0.00290561,0.00301894
F1 Score Avg,0.366879,0.366879,0.378603,0.3884,0.39755,0.409563,0.417633,0.422706,0.428281,0.436027,0.441389,0.44526,0.449838,0.450949
F1 Score STD,0.00280199,0.00280199,0.00369695,0.005242,0.00373851,0.00505926,0.00698545,0.00725679,0.0060708,0.00529523,0.00387281,0.00252644,0.00288733,0.00320614
Default Process Time Avg,144993,144993,144993,144993,144993,144993,144993,144993,144993,144993,144993,144993,144993,144993
Default Process Time STD,38390.3,38390.3,38390.3,38390.3,38390.3,38390.3,38390.3,38390.3,38390.3,38390.3,38390.3,38390.3,38390.3,38390.3
KNN Total Time Avg,16800.6,16800.6,16800.6,16800.6,16800.6,16800.6,16800.6,16800.6,16800.6,16800.6,16800.6,16800.6,16800.6,16800.6
KNN Total Time STD,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
KNN Per Image Time Avg,2,2,2,2,2,2,2,2,2,2,2,2,2,2
KNN Per Image Time STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preprocess Dimension Time Avg,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304
Preprocess Dimension Time STD,26.7806,26.7806,26.7806,26.7806,26.7806,26.7806,26.7806,26.7806,26.7806,26.7806,26.7806,26.7806,26.7806,26.7806
TC Time Avg,61,61,61,61,61,61,61,61,61,61,61,61,61,61
TC Time STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
