k,1
alpha/gamma,3
Hit Rate Avg,0.437595
Hit Rate STD,0.00492771
Precision Avg,0.429117
Precision STD,0.00487764
Recall Avg,0.429692
Recall STD,0.00436556
F1 Score Avg,0.429404
F1 Score STD,0.00459447
Default Process Time Avg,139038
Default Process Time STD,37298.2
KNN Total Time Avg,16803
KNN Total Time STD,3.09839
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,1942.2
Preprocess Dimension Time STD,18.3019
TC Time Avg,89.8
TC Time STD,0.748331
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2618,1,353,111,22,253,450,10,284,30,
1,0,4235,51,58,20,53,35,65,135,32,
2,350,58,1469,500,75,332,680,104,559,50,
3,104,66,480,2271,44,549,149,42,586,60,
4,19,22,85,45,1390,173,209,868,102,1159,
5,268,50,336,563,149,1014,480,137,660,138,
6,453,47,704,131,200,475,1348,85,592,102,
7,9,77,92,45,910,128,88,1719,106,1227,
8,290,139,610,573,102,666,546,91,960,86,
9,24,39,38,72,1146,136,103,1188,87,1355,
----,-----,----
----,-----,----
k,2
alpha/gamma,3
Hit Rate Avg,0.437595
Hit Rate STD,0.00492771
Precision Avg,0.429117
Precision STD,0.00487764
Recall Avg,0.429692
Recall STD,0.00436556
F1 Score Avg,0.429404
F1 Score STD,0.00459447
Default Process Time Avg,139038
Default Process Time STD,37298.2
KNN Total Time Avg,16803
KNN Total Time STD,3.09839
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,1942.2
Preprocess Dimension Time STD,18.3019
TC Time Avg,89.8
TC Time STD,0.748331
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2618,1,353,111,22,253,450,10,284,30,
1,0,4235,51,58,20,53,35,65,135,32,
2,350,58,1469,500,75,332,680,104,559,50,
3,104,66,480,2271,44,549,149,42,586,60,
4,19,22,85,45,1390,173,209,868,102,1159,
5,268,50,336,563,149,1014,480,137,660,138,
6,453,47,704,131,200,475,1348,85,592,102,
7,9,77,92,45,910,128,88,1719,106,1227,
8,290,139,610,573,102,666,546,91,960,86,
9,24,39,38,72,1146,136,103,1188,87,1355,
----,-----,----
----,-----,----
k,3
alpha/gamma,3
Hit Rate Avg,0.455
Hit Rate STD,0.00389851
Precision Avg,0.437248
Precision STD,0.00436083
Recall Avg,0.446698
Recall STD,0.00394367
F1 Score Avg,0.441921
F1 Score STD,0.00409659
Default Process Time Avg,139038
Default Process Time STD,37298.2
KNN Total Time Avg,16803
KNN Total Time STD,3.09839
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,1942.2
Preprocess Dimension Time STD,18.3019
TC Time Avg,89.8
TC Time STD,0.748331
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2941,1,308,99,23,212,351,6,177,14,
1,0,4343,51,50,15,46,29,33,100,17,
2,399,64,1662,451,78,323,598,101,461,40,
3,115,73,551,2408,45,491,139,40,441,48,
4,21,24,88,47,1668,170,199,852,86,917,
5,321,58,396,619,182,1008,454,116,541,100,
6,512,54,772,132,227,498,1319,66,484,73,
7,9,92,98,45,1092,139,79,1877,90,880,
8,331,159,687,627,112,657,521,76,819,74,
9,30,48,40,77,1402,135,93,1218,80,1065,
----,-----,----
----,-----,----
k,4
alpha/gamma,3
Hit Rate Avg,0.465976
Hit Rate STD,0.004777
Precision Avg,0.450202
Precision STD,0.0046205
Recall Avg,0.457782
Recall STD,0.00542981
F1 Score Avg,0.453958
F1 Score STD,0.00493967
Default Process Time Avg,139038
Default Process Time STD,37298.2
KNN Total Time Avg,16803
KNN Total Time STD,3.09839
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,1942.2
Preprocess Dimension Time STD,18.3019
TC Time Avg,89.8
TC Time STD,0.748331
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2938,1,308,82,22,222,380,4,165,10,
1,0,4372,44,43,10,44,31,30,96,14,
2,361,51,1680,461,80,314,624,90,476,40,
3,104,65,497,2442,45,508,136,40,465,49,
4,14,24,80,36,1618,160,211,855,72,1002,
5,299,53,385,558,180,1062,481,108,568,101,
6,467,55,736,118,212,477,1450,67,489,66,
7,7,92,83,41,1024,141,77,1909,82,945,
8,320,155,640,603,107,639,561,73,888,77,
9,29,46,40,64,1317,130,97,1180,73,1212,
----,-----,----
----,-----,----
k,5
alpha/gamma,3
Hit Rate Avg,0.476024
Hit Rate STD,0.00638859
Precision Avg,0.461201
Precision STD,0.00599778
Recall Avg,0.467908
Recall STD,0.00672556
F1 Score Avg,0.464529
F1 Score STD,0.00631458
Default Process Time Avg,139038
Default Process Time STD,37298.2
KNN Total Time Avg,16803
KNN Total Time STD,3.09839
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,1942.2
Preprocess Dimension Time STD,18.3019
TC Time Avg,89.8
TC Time STD,0.748331
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2965,1,309,71,19,214,390,5,149,9,
1,0,4393,44,38,7,38,30,28,94,12,
2,354,52,1709,473,77,290,631,81,473,37,
3,101,60,461,2472,47,507,138,37,489,39,
4,10,23,75,31,1627,145,221,834,59,1047,
5,299,47,382,548,196,1088,476,101,571,87,
6,445,54,733,111,206,467,1532,59,470,60,
7,6,93,84,30,988,129,76,1904,74,1017,
8,320,149,619,577,108,612,571,65,973,69,
9,28,47,30,51,1283,122,102,1130,65,1330,
----,-----,----
----,-----,----
k,10
alpha/gamma,3
Hit Rate Avg,0.489595
Hit Rate STD,0.00570863
Precision Avg,0.4753
Precision STD,0.00575886
Recall Avg,0.481634
Recall STD,0.00606261
F1 Score Avg,0.478445
F1 Score STD,0.00586614
Default Process Time Avg,139038
Default Process Time STD,37298.2
KNN Total Time Avg,16803
KNN Total Time STD,3.09839
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,1942.2
Preprocess Dimension Time STD,18.3019
TC Time Avg,89.8
TC Time STD,0.748331
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
