k,1
alpha/gamma,10
Hit Rate Avg,0.921595
Hit Rate STD,0.00268172
Precision Avg,0.920475
Precision STD,0.00255267
Recall Avg,0.920547
Recall STD,0.00267577
F1 Score Avg,0.920511
F1 Score STD,0.00261264
Default Process Time Avg,330655
Default Process Time STD,24775.5
KNN Total Time Avg,25561.8
KNN Total Time STD,641.091
KNN Per Image Time Avg,2.8
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,91326.6
Preprocess Dimension Time STD,8985.69
TC Time Avg,338.2
TC Time STD,13.8766
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3995,0,17,15,9,30,39,2,13,12,
1,3,4593,15,19,5,3,8,12,15,11,
2,27,10,3854,65,28,17,45,63,53,15,
3,23,20,60,3756,4,166,16,42,177,87,
4,6,14,24,5,3754,14,31,16,9,199,
5,69,8,15,150,31,3305,76,10,94,37,
6,37,4,21,3,17,54,3969,1,27,4,
7,1,27,47,17,28,6,4,4152,20,99,
8,24,25,29,130,16,92,27,15,3601,104,
9,19,10,9,49,191,36,10,87,49,3728,
----,-----,----
----,-----,----
k,2
alpha/gamma,10
Hit Rate Avg,0.921595
Hit Rate STD,0.00268172
Precision Avg,0.920475
Precision STD,0.00255267
Recall Avg,0.920547
Recall STD,0.00267577
F1 Score Avg,0.920511
F1 Score STD,0.00261264
Default Process Time Avg,330655
Default Process Time STD,24775.5
KNN Total Time Avg,25561.8
KNN Total Time STD,641.091
KNN Per Image Time Avg,2.8
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,91326.6
Preprocess Dimension Time STD,8985.69
TC Time Avg,338.2
TC Time STD,13.8766
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3995,0,17,15,9,30,39,2,13,12,
1,3,4593,15,19,5,3,8,12,15,11,
2,27,10,3854,65,28,17,45,63,53,15,
3,23,20,60,3756,4,166,16,42,177,87,
4,6,14,24,5,3754,14,31,16,9,199,
5,69,8,15,150,31,3305,76,10,94,37,
6,37,4,21,3,17,54,3969,1,27,4,
7,1,27,47,17,28,6,4,4152,20,99,
8,24,25,29,130,16,92,27,15,3601,104,
9,19,10,9,49,191,36,10,87,49,3728,
----,-----,----
----,-----,----
k,3
alpha/gamma,10
Hit Rate Avg,0.92781
Hit Rate STD,0.0019381
Precision Avg,0.926806
Precision STD,0.00192765
Recall Avg,0.926705
Recall STD,0.00205697
F1 Score Avg,0.926755
F1 Score STD,0.001992
Default Process Time Avg,330655
Default Process Time STD,24775.5
