k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hit Rate Avg,0.821238,0.821238,0.836167,0.848619,0.853714,0.860381,0.864905,0.866357,0.865786,0.865595,0.863929,0.862429,0.86031,0.858024
Hit Rate STD,0.00450409,0.00450409,0.00502567,0.00364107,0.00392922,0.00381428,0.00336667,0.00339116,0.00280569,0.00301921,0.00384433,0.00448896,0.00495078,0.00520803
Precision Avg,0.818573,0.818573,0.833334,0.845729,0.851126,0.857895,0.862546,0.864187,0.863628,0.863709,0.862184,0.860724,0.858703,0.856567
Precision STD,0.0045709,0.0045709,0.00480165,0.00368682,0.00414175,0.00384017,0.00326867,0.00338115,0.0026651,0.00287201,0.00382294,0.00446748,0.00482072,0.00510455
Recall Avg,0.818864,0.818864,0.833797,0.846535,0.851842,0.858682,0.863289,0.864842,0.864278,0.864205,0.862522,0.860978,0.858809,0.856507
Recall STD,0.00430472,0.00430472,0.00472358,0.00367353,0.00424134,0.00397164,0.00342754,0.00355144,0.00290204,0.00296963,0.00393503,0.00460946,0.00497242,0.00525354
F1 Score Avg,0.818719,0.818719,0.833565,0.846132,0.851484,0.858289,0.862917,0.864514,0.863953,0.863957,0.862353,0.860851,0.858756,0.856537
F1 Score STD,0.0044359,0.0044359,0.00475911,0.00367496,0.00418951,0.00390248,0.00334377,0.00346321,0.00278068,0.0029176,0.00387706,0.00453645,0.00489518,0.00517752
Default Process Time Avg,330990,330990,330990,330990,330990,330990,330990,330990,330990,330990,330990,330990,330990,330990
Default Process Time STD,6412.54,6412.54,6412.54,6412.54,6412.54,6412.54,6412.54,6412.54,6412.54,6412.54,6412.54,6412.54,6412.54,6412.54
KNN Total Time Avg,19209.6,19209.6,19209.6,19209.6,19209.6,19209.6,19209.6,19209.6,19209.6,19209.6,19209.6,19209.6,19209.6,19209.6
KNN Total Time STD,1647.42,1647.42,1647.42,1647.42,1647.42,1647.42,1647.42,1647.42,1647.42,1647.42,1647.42,1647.42,1647.42,1647.42
KNN Per Image Time Avg,2,2,2,2,2,2,2,2,2,2,2,2,2,2
KNN Per Image Time STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preprocess Dimension Time Avg,54916.2,54916.2,54916.2,54916.2,54916.2,54916.2,54916.2,54916.2,54916.2,54916.2,54916.2,54916.2,54916.2,54916.2
Preprocess Dimension Time STD,5372.29,5372.29,5372.29,5372.29,5372.29,5372.29,5372.29,5372.29,5372.29,5372.29,5372.29,5372.29,5372.29,5372.29
TC Time Avg,221,221,221,221,221,221,221,221,221,221,221,221,221,221
TC Time STD,36.5951,36.5951,36.5951,36.5951,36.5951,36.5951,36.5951,36.5951,36.5951,36.5951,36.5951,36.5951,36.5951,36.5951
