Number of eigenvalues,Accumulation,Percentage,Accumulation,Percentage
1,334781,9.748953122,86350.3,27.7004385219
2,580666,16.9092200977,153645,49.2880033619
3,791717,23.0551074251,201303,64.5762826044
4,976444,28.4344296189,232334,74.5307622967
5,1144510,33.328577003,255048,81.8172194438
6,1292290,37.6319881655,271566,87.1160527253
7,1404820,40.9089055975,283547,90.9594551678
8,1504140,43.8011426841,289675,92.9252652143
9,1599150,46.5678708918,294739,94.549753151
10,1679810,48.9167215101,299430,96.0545858743
11,1751910,51.0163015941,301628,96.7596854961
12,1822610,53.0751131327,303332,97.3063141382
13,1881080,54.7777823076,304671,97.7358538987
14,1939210,56.4705505501,305653,98.0508711092
15,1993500,58.0514964968,306605,98.356264576
16,2044440,59.5348891387,307329,98.5885175906
17,2089760,60.8546251915,307922,98.7787469244
18,2133810,62.1373783496,308405,98.933689198
19,2174600,63.3251990379,308834,99.0713087329
20,2214190,64.4780752587,309184,99.1835857427
21,2251010,65.5502880007,309468,99.2746905164
22,2285870,66.5654247791,309688,99.3452646369
23,2319000,67.5301832837,309937,99.4251417096
24,2350350,68.443107495,310120,99.4838465462
25,2380830,69.3306969674,310285,99.5367771366
26,2409640,70.1696553893,310437,99.585537438
27,2437520,70.981531849,310561,99.6253155786
28,2464210,71.7587550451,310657,99.6561115584
29,2489650,72.4995777544,310751,99.6862659554
30,2513230,73.1862365391,310832,99.7122500634
31,2535820,73.8440661382,310913,99.7382341713
32,2557760,74.4829674842,310983,99.7606895733
33,2578340,75.0822651004,311042,99.7796162693
34,2598560,75.6710793764,311094,99.796297425
35,2617940,76.2354325251,311143,99.8120162064
36,2636520,76.7764893623,311189,99.8267726134
37,2654010,77.2858049749,311226,99.8386418973
38,2670750,77.7732802954,311264,99.8508319726
39,2687080,78.2488162562,311298,99.8617388822
40,2703100,78.7153248962,311341,99.8755329148
41,2718650,79.1681469531,311372,99.88547745
42,2733940,79.6133977088,311400,99.8944596108
43,2748300,80.0315665022,311425,99.9024793972
44,2761950,80.4290598191,311446,99.9092160178
45,2775150,80.8134489607,311465,99.9153110554
46,2788030,81.1885195776,311484,99.9214060931
47,2800430,81.5496124076,311502,99.9271803393
48,2812390,81.8978922662,311517,99.9319922112
49,2823950,82.234523969,311532,99.936804083
50,2834960,82.5551394575,311545,99.940974372
51,2845800,82.8708044799,311556,99.944503078
52,2856410,83.1797718126,311568,99.9483525755
53,2866500,83.4735965428,311578,99.95156049
54,2876340,83.7601411756,311587,99.9544476132
55,2885980,84.0408617306,311596,99.9573347363
56,2895240,84.3105165375,311604,99.9599010679
57,2904370,84.5763856937,311611,99.9621466081
58,2913170,84.8326451215,311617,99.9640713569
