Labels,TC1,TC2,TC3,TC1,TC2,TC3
1,-3.2283,-2.72383,3.41233,-3.64085,0.894335,-0.293498
0,8.30233,8.10902,1.75933,-0.701623,-2.44859,-1.24065
1,-4.32765,-3.88959,1.43345,-2.57244,0.327688,-0.0422834
4,-0.808814,-0.742704,-1.46476,1.15674,-0.313002,1.7613
0,9.38685,9.29363,2.19167,-0.822405,-2.67699,-2.45719
0,2.38001,2.37241,-0.940547,1.38498,-0.0314041,-0.249867
7,-3.28064,-3.31899,-2.26804,2.02175,-1.53052,-1.88935
3,-0.558133,-0.503577,0.101139,-0.0117809,-2.46214,-2.5157
5,1.70896,1.45497,-0.688081,1.07521,-1.8983,-1.80647
3,1.45114,1.82717,3.93982,-3.51063,-0.192122,-1.31182
8,1.28665,0.820702,-1.9166,2.0555,2.35593,-2.14911
9,-1.49573,-1.71985,-1.71672,1.93929,2.28901,-1.02511
1,-4.71207,-4.24239,1.75097,-2.83094,0.478014,0.187829
3,-0.0686586,-0.517956,1.26623,-0.893007,-5.13414,-3.73346
3,2.4403,2.33253,3.14478,-2.41185,-2.82355,-1.53427
1,-4.70606,-4.13696,1.37794,-2.01307,-0.0610662,-0.544564
2,-0.0127791,-0.452077,3.25874,-3.16404,-3.04122,-1.62596
0,4.77936,5.52429,1.21678,-0.38452,4.04571,-0.937249
7,-3.10837,-2.88802,-1.71278,1.58829,-0.229669,-1.48273
5,4.71418,4.03564,2.10539,-1.70833,-2.85937,3.06227
8,-1.1693,-0.86382,1.1941,-1.11972,1.47031,-1.01007
6,0.916702,1.35717,0.439376,-0.366373,3.63305,2.66488
2,-0.180314,0.284676,6.08154,-5.87782,-2.00139,-0.655421
0,6.4255,6.35137,1.54029,-0.529403,-2.02992,-3.68601
2,-1.5394,-1.60591,2.56331,-2.65076,-3.3267,-1.43746
3,1.20152,1.8579,4.08837,-3.35951,-1.3212,-2.79975
6,0.187273,0.0754562,-1.80736,1.23945,2.10618,4.62124
9,-2.98077,-2.82625,0.165532,0.0643336,1.43639,-1.12739
9,-2.26953,-2.6827,-3.41304,3.29829,1.12399,-0.734739
7,-0.191527,-0.976668,-4.72524,4.74835,-2.4988,-3.02273
8,-1.66632,-1.34642,0.993533,-1.10952,2.44696,-1.24414
9,-0.637358,-0.967952,-2.73428,2.5032,-0.76174,1.35979
4,2.24655,1.91648,-2.88041,3.10747,-0.500778,-0.0780058
9,-0.644715,-1.25519,-4.26688,4.08639,3.00562,0.758041
2,-1.35961,-1.80397,-1.69132,1.31002,1.58156,2.95798
1,-3.15571,-2.67667,0.915961,-1.80286,-0.948114,0.329584
3,-1.32579,-1.25468,1.12428,-1.08507,-3.46141,-2.88807
1,-4.29538,-3.66919,3.11379,-3.91879,0.744798,0.153153
1,-4.50642,-3.97554,3.20565,-3.74893,0.760734,0.205909
4,-0.876775,-1.35343,-3.99117,3.88239,1.12097,0.9008
9,-0.56943,-0.241136,0.746039,-0.258435,-1.92086,-3.01009
1,-4.38976,-3.95352,2.25567,-3.34284,0.426002,-0.00554412
4,1.51794,0.523652,-3.8113,3.37128,-0.838137,2.62613
4,0.681815,0.461804,-2.37293,2.46809,0.896008,0.371473
2,-2.0336,-2.0226,-0.0351626,-0.960005,0.0129451,2.5023
6,0.488215,1.14092,0.294269,-0.370998,1.95386,3.91514
3,-1.3304,-0.713475,1.43382,-1.54221,-1.7925,-1.12357
7,-2.18749,-2.52988,-3.14321,2.87251,-3.3326,-2.1034
7,-2.20579,-1.63066,-1.35891,1.46194,1.81618,-1.59776
4,1.2727,0.386872,-5.11225,5.14339,0.733955,1.40883
7,-2.33188,-2.22254,-2.47738,2.32797,-2.65343,-1.54222
5,4.24385,3.88046,2.77645,-1.93409,-4.29039,-0.350348
1,-4.43568,-3.91971,2.07021,-3.03798,-0.0864563,-0.428786
9,-0.401837,-1.33575,-2.27642,2.10288,-3.99132,0.599268
0,7.3645,8.11033,2.21046,-0.95039,0.588151,-1.39938
2,-2.96455,-2.72743,-0.679608,-0.154855,-0.0156599,1.96881
2,-2.34606,-2.13175,1.59399,-2.30006,-0.334269,2.7093
3,0.839491,0.650135,1.96346,-1.38686,-4.65952,-4.07709
9,-2.7237,-2.92536,-1.87827,1.82144,2.38345,0.0744452
1,-4.60061,-4.00096,2.28741,-3.08792,0.0835144,-0.418419
1,-1.68569,-1.43611,1.21186,-1.98819,-0.374028,2.04429
1,-2.43491,-2.27926,1.22966,-1.6264,1.91335,1.30061
5,0.838176,0.235857,-4.21221,3.76699,-0.684461,-1.01897
0,4.28139,4.95876,-0.546904,1.01696,3.55025,0.242031
6,3.04238,2.58532,-1.65875,1.3388,1.36797,6.39404
3,-1.85587,-1.36773,2.74288,-3.12163,-2.54553,-1.06741
4,0.578647,-0.496004,-4.54685,4.10598,-1.94916,1.1398
8,0.293874,-0.774423,-0.138447,-0.111,-4.96949,-0.0528611
1,-4.31646,-3.71288,3.95978,-4.55185,1.24891,-0.105797
0,0.243972,1.04121,1.10822,-0.838672,-0.955338,0.352333
3,0.13528,0.298224,1.95656,-1.53858,-0.380933,-2.193
9,-3.14123,-2.90465,-1.89771,1.53005,-0.66898,-0.414017
6,2.27801,1.55383,-0.659881,0.125867,0.824636,5.32491
2,5.42395,5.32525,2.84729,-1.95198,0.258338,-0.456833
6,-2.71543,-2.25261,2.38363,-2.9074,3.13711,2.22927
4,-1.17643,-1.22903,-3.44005,3.04417,2.71723,2.30366
7,-1.95567,-2.40112,-3.50588,3.20573,-0.486832,-0.0935104
1,-4.10645,-3.39565,1.31032,-2.16347,0.0775356,-0.0796088
4,1.38251,0.117144,-5.2458,4.92854,-2.44317,0.800833
1,-4.88639,-4.51658,2.6958,-3.29436,1.08914,-0.0331003
5,-2.9038,-2.17026,0.695571,-1.10363,1.8967,0.0713959
4,0.222186,-0.241437,-3.35714,3.58163,2.91734,2.17848
8,-0.993806,-0.860578,1.70145,-1.90701,1.12332,-1.37455
9,-1.81956,-1.98115,-2.49652,2.40979,-0.407784,-1.35718
2,-1.33472,-0.631467,2.04466,-1.88517,0.608574,0.250623
9,-2.84073,-2.69027,-0.370859,-0.306757,-2.73555,-1.02708
9,-1.84643,-2.49623,-3.77384,3.67312,0.962174,-0.120039
8,-1.03202,-0.546342,0.843092,-0.760886,-2.1686,-0.730343
9,-0.021797,-0.44929,-4.21782,3.99088,-1.06951,-0.428952
6,0.392271,0.157051,-2.76309,2.34958,0.0389896,2.85644
3,0.122826,0.542581,1.281,-1.01751,-2.8113,-0.363397
