k,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
alpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hit Rate Avg,0.967143,0.967143,0.967214,0.968833,0.969619,0.969476,0.968881,0.968429,0.967905,0.967548,0.967167,0.96681,0.965929,0.965476,0.964881,0.964476,0.963857,0.963548,0.963048,0.962476,0.962048,0.961857,0.961286,0.960905,0.960571,0.960143,0.959762,0.95931,0.958857,0.958405,0.958024,0.957643,0.95731,0.956929,0.956571,0.956238,0.955833,0.955333,0.955143,0.954762,0.954405,0.954071,0.953714,0.953238,0.953095,0.952619,0.952286,0.952048,0.951667,0.9515,0.951143,0.950952,0.950595,0.950381,0.950024,0.949976,0.949714,0.949476,0.949333,0.948976,0.948667,0.948333,0.947976,0.947643,0.947452,0.947095,0.946881,0.946667,0.946429,0.946238,0.945857,0.945476,0.94531,0.945048,0.944881,0.944571,0.944429,0.944262,0.94419,0.943929,0.943595,0.943524,0.94331,0.943,0.942762,0.942548,0.94231,0.942214,0.942071,0.941976,0.94181,0.941643,0.941524,0.94131,0.941143,0.940881,0.940714,0.940429,0.940429,0.940214
Hit Rate STD,0.00120468,0.00120468,0.00199432,0.0017664,0.00190089,0.00196713,0.00159826,0.00180764,0.00220106,0.00229067,0.00213145,0.00227552,0.00260538,0.00246977,0.00231455,0.00238642,0.00238642,0.00238737,0.00239354,0.00269311,0.00281557,0.00283383,0.00254038,0.00250125,0.00259229,0.00250329,0.00248008,0.00240158,0.00226203,0.00246702,0.00250464,0.00255706,0.0025339,0.00242624,0.00246908,0.00262294,0.00256768,0.00259557,0.00252246,0.00244787,0.00254105,0.00259119,0.00263243,0.00262164,0.00257539,0.00254328,0.00258462,0.00258462,0.00281416,0.00266262,0.00267113,0.00270738,0.00276026,0.00279739,0.00295507,0.00297133,0.00293987,0.00301602,0.00308754,0.00296101,0.0028065,0.00298427,0.003037,0.00298085,0.00296866,0.00297629,0.00284462,0.00294219,0.00298617,0.00301602,0.00299414,0.00290925,0.00294854,0.00279151,0.00278785,0.00271637,0.00277807,0.00297514,0.00296273,0.00298427,0.00277705,0.00277215,0.00275039,0.00273799,0.00273385,0.00277419,0.00281477,0.00277521,0.00284979,0.00287159,0.00290281,0.00296751,0.00299792,0.00293737,0.00294854,0.00277726,0.00261797,0.00262186,0.00255839,0.00253926
Precision Avg,0.967327,0.967327,0.967639,0.969238,0.97004,0.969974,0.969482,0.969104,0.968599,0.968284,0.967954,0.967623,0.966784,0.966366,0.965807,0.96542,0.964847,0.964561,0.964096,0.963544,0.963157,0.962995,0.962463,0.962118,0.961808,0.961424,0.961092,0.96065,0.960223,0.959816,0.95948,0.959133,0.95883,0.958491,0.958164,0.95789,0.957506,0.957039,0.956891,0.95655,0.956233,0.955926,0.95561,0.955199,0.955076,0.95462,0.954315,0.954081,0.953748,0.953614,0.953298,0.953162,0.952831,0.952638,0.952303,0.952265,0.952021,0.951797,0.951664,0.951351,0.951079,0.950786,0.950473,0.950176,0.950026,0.949697,0.949513,0.94934,0.949132,0.948973,0.948622,0.948276,0.948131,0.947906,0.947765,0.947509,0.947384,0.947238,0.947163,0.946935,0.946635,0.946589,0.94638,0.946092,0.945872,0.945673,0.945486,0.945395,0.945271,0.9452,0.945068,0.944929,0.944825,0.944629,0.944488,0.944252,0.944104,0.943842,0.943839,0.94366
Precision STD,0.00120936,0.00120936,0.00189387,0.00176611,0.00186674,0.00194866,0.00155573,0.00176926,0.00215039,0.00224715,0.00207854,0.00221151,0.00251978,0.00237073,0.00223366,0.00230137,0.00232131,0.0023126,0.00230518,0.00259246,0.00270323,0.00271739,0.00244225,0.00240987,0.00250589,0.00239789,0.00236186,0.00229825,0.00215673,0.00233048,0.00236768,0.0024036,0.00238365,0.00230056,0.00235251,0.00250837,0.00246216,0.00250389,0.00242339,0.00235533,0.00244685,0.00249861,0.0025406,0.00250058,0.00245724,0.00241179,0.00245417,0.00243983,0.0026168,0.00245534,0.00245417,0.00251216,0.0025592,0.00259607,0.00273681,0.00275223,0.0027345,0.00278792,0.00285724,0.00273879,0.00258531,0.0027431,0.00277191,0.00271894,0.00269876,0.00271235,0.00255431,0.00266675,0.00271492,0.00275944,0.00271651,0.00263272,0.00266746,0.00253289,0.00252412,0.00248073,0.00254961,0.00273962,0.00274511,0.00275859,0.00257387,0.00257578,0.00254935,0.00253845,0.00253154,0.00256629,0.00257836,0.00253,0.00261473,0.00261384,0.00265754,0.00270794,0.00272789,0.00266502,0.00268635,0.00251486,0.0023545,0.00236863,0.0023051,0.00229048
Recall Avg,0.966688,0.966688,0.96666,0.968377,0.969193,0.969053,0.968448,0.967987,0.967471,0.967127,0.966727,0.966369,0.965475,0.965013,0.9644,0.963991,0.963364,0.963036,0.962517,0.961934,0.961497,0.961309,0.960706,0.960324,0.959988,0.959543,0.959152,0.9587,0.958238,0.957775,0.957388,0.957001,0.956659,0.956269,0.955904,0.955573,0.955171,0.954665,0.95447,0.954091,0.953727,0.95339,0.953022,0.952535,0.952393,0.951913,0.951576,0.951333,0.95094,0.950775,0.950412,0.950227,0.949862,0.949641,0.949276,0.949234,0.94897,0.948728,0.948581,0.948223,0.94791,0.947568,0.947201,0.946861,0.946668,0.946311,0.946093,0.945873,0.945632,0.945434,0.945054,0.944649,0.944483,0.944221,0.944049,0.94374,0.943599,0.943429,0.943359,0.943096,0.942758,0.942683,0.942467,0.942151,0.941903,0.941676,0.941434,0.941339,0.941196,0.941098,0.940925,0.94076,0.940642,0.940427,0.940259,0.939999,0.939828,0.939535,0.939536,0.93932
Recall STD,0.00126583,0.00126583,0.00203492,0.00174187,0.0018557,0.00191642,0.00156258,0.00180592,0.00220777,0.00231885,0.00215625,0.00230465,0.00267046,0.00254071,0.00238068,0.00245698,0.00245637,0.00246111,0.00247473,0.00276322,0.00291804,0.00291935,0.00263157,0.00257615,0.00268913,0.00259638,0.00257745,0.00248251,0.00234003,0.00254489,0.00257719,0.00261929,0.00258901,0.00247349,0.00252652,0.00268117,0.00262684,0.00266114,0.00258929,0.00249024,0.00259546,0.00264581,0.00267725,0.00269609,0.00265281,0.00262365,0.00266241,0.00265177,0.0028616,0.0027288,0.00272342,0.00276488,0.00282445,0.00284406,0.00301025,0.00302045,0.00296459,0.00303374,0.00311425,0.00297661,0.00282888,0.00302105,0.00310266,0.00302808,0.0030215,0.00301725,0.00287951,0.00295881,0.00300463,0.00305009,0.0030338,0.0029305,0.00295781,0.00280712,0.00282349,0.00276463,0.00284153,0.00304991,0.00304388,0.00308866,0.00289557,0.00288273,0.00286655,0.00287087,0.00288464,0.00293368,0.00297146,0.00293013,0.00301726,0.00304788,0.00309051,0.0031659,0.00318873,0.00312956,0.00314882,0.00299088,0.00282633,0.00282666,0.00274961,0.00273094
F1 Score Avg,0.967008,0.967008,0.967149,0.968808,0.969616,0.969513,0.968965,0.968545,0.968035,0.967705,0.96734,0.966995,0.966129,0.965689,0.965103,0.964705,0.964105,0.963798,0.963306,0.962738,0.962326,0.962151,0.961584,0.96122,0.960897,0.960483,0.960121,0.959674,0.95923,0.958794,0.958433,0.958066,0.957743,0.957379,0.957033,0.95673,0.956337,0.955851,0.955679,0.955319,0.954979,0.954656,0.954314,0.953865,0.953733,0.953265,0.952943,0.952705,0.952342,0.952192,0.951853,0.951692,0.951344,0.951137,0.950787,0.950747,0.950493,0.95026,0.95012,0.949785,0.949492,0.949174,0.948834,0.948515,0.948344,0.948001,0.947799,0.947604,0.947379,0.9472,0.946835,0.946459,0.946304,0.94606,0.945903,0.945621,0.945487,0.94533,0.945257,0.945011,0.944692,0.944632,0.94442,0.944117,0.943884,0.943671,0.943456,0.943362,0.943229,0.943145,0.942992,0.94284,0.942728,0.942524,0.942369,0.94212,0.941961,0.941683,0.941683,0.941485
F1 Score STD,0.0012369,0.0012369,0.00196316,0.00175244,0.00185933,0.00193079,0.00155632,0.00178518,0.00217698,0.002281,0.00211584,0.00225618,0.00259329,0.00245398,0.00230598,0.00237814,0.00238778,0.00238558,0.00238868,0.00267674,0.00280991,0.00281708,0.0025354,0.00249143,0.00259522,0.00249429,0.0024654,0.00238514,0.00224268,0.00243271,0.00246807,0.00250609,0.00248114,0.00238194,0.0024338,0.00258836,0.00253776,0.00257562,0.00249919,0.00241513,0.00251396,0.0025653,0.0026007,0.00259012,0.00254687,0.00250949,0.00254953,0.00253604,0.00273065,0.00258354,0.00257977,0.00262911,0.00268239,0.00271125,0.00286504,0.00287803,0.00284122,0.00290264,0.00297806,0.00284912,0.00269792,0.00287413,0.00292931,0.00286518,0.00285168,0.00285752,0.00270954,0.00280567,0.00285248,0.00289681,0.00286771,0.00277391,0.00280495,0.00266206,0.00266572,0.0026147,0.00268827,0.00288852,0.00288853,0.00291785,0.00272835,0.00272288,0.00270141,0.00269848,0.0027028,0.00274521,0.00276985,0.00272467,0.00281118,0.0028263,0.00286929,0.00293205,0.0029527,0.00289217,0.00291236,0.00274765,0.00258384,0.00259102,0.00251979,0.00250219
Default Process Time Avg,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331
