k,1
alpha,0
Hit Rate Avg,0.967143
Hit Rate STD,0.00120468
Precision Avg,0.967327
Precision STD,0.00120936
Recall Avg,0.966688
Recall STD,0.00126583
F1 Score Avg,0.967008
F1 Score STD,0.0012369
Default Process Time Avg,3331
Default Process Time STD,182.603
KNN Total Time Avg,405142
KNN Total Time STD,9936.1
KNN Per Image Time Avg,47.8
KNN Per Image Time STD,1.46969
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4100,1,3,2,0,5,16,0,1,4,
1,0,4650,8,2,4,2,2,9,3,4,
2,24,19,4027,23,5,2,7,52,11,7,
3,3,5,26,4170,1,66,2,25,36,17,
4,3,33,0,0,3916,1,13,10,0,96,
5,9,6,1,66,6,3625,47,1,10,24,
6,17,7,0,2,6,20,4084,0,1,0,
7,0,38,20,2,9,0,0,4280,0,52,
8,7,33,23,72,12,58,18,13,3781,46,
9,13,7,3,22,66,10,2,69,9,3987,
----,-----,----
----,-----,----
k,2
alpha,0
Hit Rate Avg,0.967143
Hit Rate STD,0.00120468
Precision Avg,0.967327
Precision STD,0.00120936
Recall Avg,0.966688
Recall STD,0.00126583
F1 Score Avg,0.967008
F1 Score STD,0.0012369
Default Process Time Avg,3331
Default Process Time STD,182.603
KNN Total Time Avg,405142
KNN Total Time STD,9936.1
KNN Per Image Time Avg,47.8
KNN Per Image Time STD,1.46969
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4100,1,3,2,0,5,16,0,1,4,
1,0,4650,8,2,4,2,2,9,3,4,
2,24,19,4027,23,5,2,7,52,11,7,
3,3,5,26,4170,1,66,2,25,36,17,
4,3,33,0,0,3916,1,13,10,0,96,
5,9,6,1,66,6,3625,47,1,10,24,
6,17,7,0,2,6,20,4084,0,1,0,
7,0,38,20,2,9,0,0,4280,0,52,
8,7,33,23,72,12,58,18,13,3781,46,
9,13,7,3,22,66,10,2,69,9,3987,
----,-----,----
----,-----,----
k,3
alpha,0
Hit Rate Avg,0.967214
Hit Rate STD,0.00199432
Precision Avg,0.967639
Precision STD,0.00189387
Recall Avg,0.96666
Recall STD,0.00203492
F1 Score Avg,0.967149
F1 Score STD,0.00196316
Default Process Time Avg,3331
Default Process Time STD,182.603
KNN Total Time Avg,405142
KNN Total Time STD,9936.1
KNN Per Image Time Avg,47.8
KNN Per Image Time STD,1.46969
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4109,1,2,0,1,4,11,0,1,3,
1,0,4662,6,2,3,1,1,5,1,3,
2,31,32,4036,16,3,2,5,42,5,5,
3,4,9,31,4206,1,36,1,23,26,14,
4,3,43,0,0,3954,0,10,4,0,58,
5,12,6,2,79,6,3625,39,3,6,17,
6,20,7,1,2,8,27,4072,0,0,0,
7,0,48,22,2,11,0,0,4288,0,30,
8,10,50,27,85,13,77,23,15,3729,34,
9,16,7,4,29,79,13,2,87,9,3942,
----,-----,----
----,-----,----
k,4
alpha,0
Hit Rate Avg,0.968833
Hit Rate STD,0.0017664
Precision Avg,0.969238
Precision STD,0.00176611
Recall Avg,0.968377
Recall STD,0.00174187
F1 Score Avg,0.968808
F1 Score STD,0.00175244
Default Process Time Avg,3331
Default Process Time STD,182.603
KNN Total Time Avg,405142
KNN Total Time STD,9936.1
KNN Per Image Time Avg,47.8
KNN Per Image Time STD,1.46969
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4108,1,2,0,1,4,11,0,1,4,
1,0,4656,8,2,4,1,2,6,1,4,
2,24,32,4018,14,4,3,6,65,6,5,
3,5,9,26,4192,1,45,3,26,26,18,
4,2,43,0,0,3940,0,12,4,0,71,
5,11,3,2,55,1,3651,41,3,7,21,
6,14,5,1,1,7,21,4088,0,0,0,
7,0,46,15,0,9,0,0,4291,1,39,
8,11,49,16,70,12,72,21,14,3758,40,
9,15,7,4,28,53,11,2,71,8,3989,
----,-----,----
----,-----,----
k,5
alpha,0
Hit Rate Avg,0.969619
Hit Rate STD,0.00190089
Precision Avg,0.97004
Precision STD,0.00186674
Recall Avg,0.969193
Recall STD,0.0018557
F1 Score Avg,0.969616
F1 Score STD,0.00185933
Default Process Time Avg,3331
Default Process Time STD,182.603
KNN Total Time Avg,405142
KNN Total Time STD,9936.1
KNN Per Image Time Avg,47.8
KNN Per Image Time STD,1.46969
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4107,1,2,0,1,4,12,1,1,3,
1,0,4656,7,2,4,1,2,7,1,4,
2,22,32,4013,14,3,3,6,71,8,5,
3,5,10,20,4191,0,48,4,25,26,22,
4,2,42,0,0,3927,0,12,4,0,85,
5,11,3,1,42,2,3657,45,3,8,23,
6,15,4,1,1,5,18,4092,0,1,0,
7,1,46,13,1,5,0,0,4287,1,47,
8,12,47,14,54,13,67,16,13,3785,42,
9,15,8,4,28,44,10,2,62,6,4009,
----,-----,----
----,-----,----
k,6
alpha,0
Hit Rate Avg,0.969476
Hit Rate STD,0.00196713
Precision Avg,0.969974
Precision STD,0.00194866
Recall Avg,0.969053
Recall STD,0.00191642
F1 Score Avg,0.969513
F1 Score STD,0.00193079
Default Process Time Avg,3331
Default Process Time STD,182.603
KNN Total Time Avg,405142
KNN Total Time STD,9936.1
KNN Per Image Time Avg,47.8
KNN Per Image Time STD,1.46969
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4105,2,1,0,1,4,14,1,1,3,
1,0,4660,6,2,2,1,2,7,1,3,
2,23,34,4009,14,3,3,5,73,8,5,
3,4,11,19,4192,0,48,4,25,26,22,
4,2,41,0,0,3925,0,11,4,0,89,
5,9,3,1,39,2,3658,47,6,8,22,
6,16,4,1,0,5,18,4092,0,1,0,
7,2,50,13,1,4,0,0,4282,1,48,
8,10,47,11,56,12,65,15,13,3788,46,
9,16,10,4,26,42,10,2,65,6,4007,
----,-----,----
----,-----,----
k,7
alpha,0
Hit Rate Avg,0.968881
Hit Rate STD,0.00159826
Precision Avg,0.969482
Precision STD,0.00155573
Recall Avg,0.968448
Recall STD,0.00156258
F1 Score Avg,0.968965
F1 Score STD,0.00155632
Default Process Time Avg,3331
Default Process Time STD,182.603
KNN Total Time Avg,405142
KNN Total Time STD,9936.1
KNN Per Image Time Avg,47.8
KNN Per Image Time STD,1.46969
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4107,2,1,0,1,5,12,1,0,3,
1,0,4659,6,2,3,1,2,7,1,3,
2,26,40,4002,15,3,3,4,74,6,4,
3,4,11,20,4198,0,43,4,25,24,22,
4,2,41,0,0,3927,0,11,5,0,86,
5,9,4,1,45,2,3656,44,6,6,22,
6,16,5,1,0,5,17,4092,0,1,0,
7,2,57,13,0,5,0,0,4277,1,46,
8,11,51,9,64,13,69,15,12,3772,47,
9,16,10,3,27,42,10,2,68,7,4003,
----,-----,----
----,-----,----
k,8
alpha,0
Hit Rate Avg,0.968429
Hit Rate STD,0.00180764
Precision Avg,0.969104
Precision STD,0.00176926
Recall Avg,0.967987
Recall STD,0.00180592
F1 Score Avg,0.968545
F1 Score STD,0.00178518
Default Process Time Avg,3331
Default Process Time STD,182.603
KNN Total Time Avg,405142
KNN Total Time STD,9936.1
KNN Per Image Time Avg,47.8
KNN Per Image Time STD,1.46969
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4107,2,1,0,1,5,12,1,0,3,
1,0,4657,7,2,2,1,4,7,1,3,
2,26,45,3991,18,3,3,5,76,6,4,
3,4,13,21,4193,0,43,4,26,24,23,
4,2,41,0,0,3925,0,11,6,0,87,
5,10,6,1,45,2,3652,43,5,6,25,
6,18,5,1,0,5,17,4090,0,1,0,
7,2,57,13,0,5,0,0,4278,1,45,
8,10,51,9,66,14,63,18,12,3770,50,
9,16,10,3,28,39,6,2,67,6,4011,
----,-----,----
----,-----,----
k,9
alpha,0
Hit Rate Avg,0.967905
Hit Rate STD,0.00220106
Precision Avg,0.968599
Precision STD,0.00215039
Recall Avg,0.967471
Recall STD,0.00220777
F1 Score Avg,0.968035
F1 Score STD,0.00217698
Default Process Time Avg,3331
Default Process Time STD,182.603
KNN Total Time Avg,405142
KNN Total Time STD,9936.1
KNN Per Image Time Avg,47.8
KNN Per Image Time STD,1.46969
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4103,3,1,0,1,5,15,2,0,2,
1,0,4655,8,2,2,1,4,8,1,3,
2,27,46,3977,18,3,4,5,83,9,5,
3,4,12,20,4187,1,45,4,31,25,22,
4,2,41,0,0,3920,0,12,6,0,91,
5,10,7,1,44,2,3651,43,5,6,26,
6,18,5,1,0,5,17,4090,0,1,0,
7,2,58,13,0,3,0,0,4276,1,48,
8,10,50,8,65,13,60,18,12,3776,51,
9,15,9,3,27,39,6,2,65,5,4017,
----,-----,----
----,-----,----
k,10
alpha,0
Hit Rate Avg,0.967548
Hit Rate STD,0.00229067
Precision Avg,0.968284
Precision STD,0.00224715
Recall Avg,0.967127
Recall STD,0.00231885
F1 Score Avg,0.967705
F1 Score STD,0.002281
Default Process Time Avg,3331
Default Process Time STD,182.603
KNN Total Time Avg,405142
KNN Total Time STD,9936.1
KNN Per Image Time Avg,47.8
KNN Per Image Time STD,1.46969
Preprocess Dimension Time Avg,0
Preprocess Dimension Time STD,0
TC Time Avg,0
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4103,3,1,0,1,5,15,2,0,2,
1,0,4657,8,2,2,0,4,8,1,2,
2,29,47,3973,18,3,4,6,83,9,5,
3,4,14,19,4181,1,48,4,33,25,22,
4,2,43,0,0,3917,0,12,6,0,92,
5,10,7,1,43,2,3651,43,5,6,27,
6,17,5,1,0,5,17,4090,0,2,0,
7,2,60,13,0,5,0,0,4270,1,50,
8,11,52,8,64,12,58,18,10,3777,53,
9,15,10,3,27,39,6,2,64,4,4018,
----,-----,----
----,-----,----
k,11
alpha,0
Hit Rate Avg,0.967167
Hit Rate STD,0.00213145
Precision Avg,0.967954
Precision STD,0.00207854
Recall Avg,0.966727
Recall STD,0.00215625
F1 Score Avg,0.96734
F1 Score STD,0.00211584
Default Process Time Avg,3331
Default Process Time STD,182.603
KNN Total Time Avg,405142
KNN Total Time STD,9936.1
KNN Per Image Time Avg,47.8
KNN Per Image Time STD,1.46969
Preprocess Dimension Time Avg,0
