k,1
alpha/gamma,25
Hit Rate Avg,0.970476
Hit Rate STD,0.00363125
Precision Avg,0.970279
Precision STD,0.00376241
Recall Avg,0.970195
Recall STD,0.00380879
F1 Score Avg,0.970237
F1 Score STD,0.00378343
Default Process Time Avg,369206
Default Process Time STD,26903.8
KNN Total Time Avg,15432.8
KNN Total Time STD,533.617
KNN Per Image Time Avg,3.1
KNN Per Image Time STD,0.3
Preprocess Dimension Time Avg,19640.6
Preprocess Dimension Time STD,567.495
TC Time Avg,817.9
TC Time STD,28.2186
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4090,2,5,2,1,7,16,3,3,3,
1,0,4638,13,5,4,0,5,8,4,7,
2,10,8,4078,19,3,2,5,36,13,3,
3,6,2,44,4133,0,64,3,19,57,23,
4,4,9,1,0,3931,2,16,7,0,102,
5,8,2,1,50,2,3646,45,1,23,17,
6,8,3,2,0,6,19,4092,0,7,0,
7,2,27,24,8,14,1,0,4263,1,61,
8,3,13,13,37,11,28,19,7,3900,32,
9,10,6,5,29,70,13,3,45,18,3989,
----,-----,----
----,-----,----
k,2
alpha/gamma,25
Hit Rate Avg,0.970476
Hit Rate STD,0.00363125
Precision Avg,0.970279
Precision STD,0.00376241
Recall Avg,0.970195
Recall STD,0.00380879
F1 Score Avg,0.970237
F1 Score STD,0.00378343
Default Process Time Avg,369206
Default Process Time STD,26903.8
KNN Total Time Avg,15432.8
KNN Total Time STD,533.617
KNN Per Image Time Avg,3.1
KNN Per Image Time STD,0.3
Preprocess Dimension Time Avg,19640.6
Preprocess Dimension Time STD,567.495
TC Time Avg,817.9
TC Time STD,28.2186
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4090,2,5,2,1,7,16,3,3,3,
1,0,4638,13,5,4,0,5,8,4,7,
2,10,8,4078,19,3,2,5,36,13,3,
3,6,2,44,4133,0,64,3,19,57,23,
4,4,9,1,0,3931,2,16,7,0,102,
5,8,2,1,50,2,3646,45,1,23,17,
6,8,3,2,0,6,19,4092,0,7,0,
7,2,27,24,8,14,1,0,4263,1,61,
8,3,13,13,37,11,28,19,7,3900,32,
9,10,6,5,29,70,13,3,45,18,3989,
----,-----,----
----,-----,----
k,3
alpha/gamma,25
Hit Rate Avg,0.972262
Hit Rate STD,0.00272148
Precision Avg,0.972155
Precision STD,0.00279012
Recall Avg,0.971977
Recall STD,0.00286604
F1 Score Avg,0.972066
F1 Score STD,0.00282424
Default Process Time Avg,369206
Default Process Time STD,26903.8
KNN Total Time Avg,15432.8
KNN Total Time STD,533.617
KNN Per Image Time Avg,3.1
KNN Per Image Time STD,0.3
Preprocess Dimension Time Avg,19640.6
Preprocess Dimension Time STD,567.495
TC Time Avg,817.9
TC Time STD,28.2186
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4102,2,3,1,2,5,9,2,3,3,
1,0,4646,12,6,4,0,5,5,2,4,
2,14,11,4092,11,3,1,3,31,8,3,
3,7,6,49,4173,0,43,2,17,37,17,
4,4,11,1,0,3974,0,12,6,0,64,
5,10,2,2,63,3,3655,34,1,12,13,
6,13,4,2,0,6,28,4081,0,3,0,
7,2,35,29,7,16,1,0,4275,1,35,
8,5,17,16,50,12,33,19,8,3884,19,
9,12,6,5,38,83,12,3,58,18,3953,
----,-----,----
----,-----,----
k,4
alpha/gamma,25
Hit Rate Avg,0.974071
Hit Rate STD,0.00192975
Precision Avg,0.973973
Precision STD,0.00192843
Recall Avg,0.973875
Recall STD,0.00200709
F1 Score Avg,0.973924
F1 Score STD,0.00196497
Default Process Time Avg,369206
Default Process Time STD,26903.8
KNN Total Time Avg,15432.8
KNN Total Time STD,533.617
KNN Per Image Time Avg,3.1
KNN Per Image Time STD,0.3
Preprocess Dimension Time Avg,19640.6
Preprocess Dimension Time STD,567.495
TC Time Avg,817.9
TC Time STD,28.2186
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4097,1,3,1,1,7,13,2,4,3,
1,0,4644,13,7,4,0,5,5,2,4,
2,12,10,4089,9,3,0,4,35,13,2,
3,4,6,42,4165,1,46,3,18,47,19,
4,3,10,0,0,3960,0,13,6,0,80,
5,8,3,2,42,3,3676,36,3,9,13,
6,10,4,1,0,6,21,4092,0,3,0,
7,2,34,22,4,15,1,1,4279,1,42,
8,4,14,14,37,9,28,17,8,3912,20,
9,10,6,6,36,60,9,3,45,16,3997,
----,-----,----
----,-----,----
k,5
alpha/gamma,25
Hit Rate Avg,0.9745
Hit Rate STD,0.00263512
Precision Avg,0.974428
Precision STD,0.00263219
Recall Avg,0.974286
Recall STD,0.00267591
F1 Score Avg,0.974357
F1 Score STD,0.00265193
Default Process Time Avg,369206
Default Process Time STD,26903.8
KNN Total Time Avg,15432.8
KNN Total Time STD,533.617
KNN Per Image Time Avg,3.1
KNN Per Image Time STD,0.3
Preprocess Dimension Time Avg,19640.6
Preprocess Dimension Time STD,567.495
TC Time Avg,817.9
TC Time STD,28.2186
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4096,1,3,1,1,7,14,2,4,3,
1,0,4646,13,7,4,0,3,5,2,4,
2,12,10,4089,8,1,0,3,38,14,2,
3,4,7,39,4160,1,47,3,21,50,19,
4,3,9,0,0,3947,0,13,8,0,92,
5,8,3,4,36,3,3672,39,4,11,15,
6,8,4,1,0,6,19,4096,0,3,0,
7,2,34,18,3,14,0,1,4281,1,47,
8,4,13,12,30,11,30,17,8,3919,19,
9,12,6,6,33,47,8,3,37,13,4023,
----,-----,----
----,-----,----
k,10
alpha/gamma,25
Hit Rate Avg,0.974167
Hit Rate STD,0.00255828
Precision Avg,0.974164
Precision STD,0.00256362
Recall Avg,0.973981
Recall STD,0.00261344
F1 Score Avg,0.974072
F1 Score STD,0.00258622
Default Process Time Avg,369206
Default Process Time STD,26903.8
KNN Total Time Avg,15432.8
KNN Total Time STD,533.617
KNN Per Image Time Avg,3.1
KNN Per Image Time STD,0.3
Preprocess Dimension Time Avg,19640.6
Preprocess Dimension Time STD,567.495
TC Time Avg,817.9
TC Time STD,28.2186
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4095,1,3,1,1,6,16,2,4,3,
1,0,4644,15,6,3,1,4,4,1,6,
2,14,10,4085,7,2,1,2,41,12,3,
3,3,7,40,4157,1,47,4,21,51,20,
4,3,11,0,0,3941,1,13,7,0,96,
5,7,3,5,35,2,3676,40,5,8,14,
6,8,3,1,0,5,18,4099,0,3,0,
7,0,35,19,3,10,0,0,4284,2,48,
8,5,17,11,33,12,25,18,8,3912,22,
9,11,6,6,32,45,10,3,41,12,4022,
----,-----,----
----,-----,----
k,15
alpha/gamma,25
Hit Rate Avg,0.972714
Hit Rate STD,0.00272346
Precision Avg,0.972734
Precision STD,0.00271417
Recall Avg,0.972462
Recall STD,0.00278169
F1 Score Avg,0.972598
F1 Score STD,0.00274561
Default Process Time Avg,369206
Default Process Time STD,26903.8
KNN Total Time Avg,15432.8
KNN Total Time STD,533.617
KNN Per Image Time Avg,3.1
KNN Per Image Time STD,0.3
Preprocess Dimension Time Avg,19640.6
Preprocess Dimension Time STD,567.495
TC Time Avg,817.9
TC Time STD,28.2186
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4095,1,3,0,0,6,20,2,3,2,
1,0,4645,15,4,3,1,5,5,2,4,
2,17,11,4072,6,1,1,6,44,16,3,
3,3,7,37,4154,1,51,4,20,53,21,
4,3,14,0,0,3932,1,15,9,0,98,
5,7,5,5,37,2,3670,41,4,7,17,
6,10,3,1,0,5,17,4098,0,3,0,
7,0,37,18,2,10,1,0,4280,2,51,
8,5,19,10,43,13,28,22,6,3893,24,
9,13,9,5,36,45,8,3,42,12,4015,
----,-----,----
----,-----,----
k,20
alpha/gamma,25
Hit Rate Avg,0.970476
Hit Rate STD,0.00287494
Precision Avg,0.970542
Precision STD,0.00287726
Recall Avg,0.970185
Recall STD,0.00295402
F1 Score Avg,0.970364
F1 Score STD,0.00291308
Default Process Time Avg,369206
Default Process Time STD,26903.8
KNN Total Time Avg,15432.8
KNN Total Time STD,533.617
KNN Per Image Time Avg,3.1
KNN Per Image Time STD,0.3
Preprocess Dimension Time Avg,19640.6
Preprocess Dimension Time STD,567.495
TC Time Avg,817.9
TC Time STD,28.2186
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,4093,1,3,0,0,6,22,2,3,2,
1,0,4643,15,4,3,1,5,6,2,5,
2,18,18,4056,7,1,1,9,46,18,3,
3,3,12,34,4139,1,54,7,20,56,25,
4,3,17,0,0,3924,1,18,9,0,100,
5,7,6,4,41,2,3658,47,5,8,17,
6,11,3,1,0,5,17,4097,0,3,0,
7,2,39,18,0,10,2,0,4269,1,60,
