k,1
alpha/gamma,2
Hit Rate Avg,0.391762
Hit Rate STD,0.00642698
Precision Avg,0.383045
Precision STD,0.00644435
Recall Avg,0.383728
Recall STD,0.00561679
F1 Score Avg,0.383381
F1 Score STD,0.00586972
Default Process Time Avg,385685
Default Process Time STD,52589.7
KNN Total Time Avg,12844
KNN Total Time STD,439.034
KNN Per Image Time Avg,3
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,19686.4
Preprocess Dimension Time STD,2243.77
TC Time Avg,74.1
TC Time STD,7.99312
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2831,1,230,90,21,289,473,7,169,21,
1,0,4130,127,84,17,46,57,91,107,25,
2,239,121,1137,776,66,573,536,73,604,52,
3,95,75,751,1550,66,560,448,62,683,61,
4,22,25,74,61,1346,138,118,975,141,1172,
5,296,45,562,534,130,675,753,80,605,115,
6,482,64,540,437,124,707,929,83,671,100,
7,7,81,55,63,1001,81,75,1714,84,1240,
8,182,115,581,727,133,656,651,75,844,99,
9,30,28,60,58,1186,99,101,1216,112,1298,
----,-----,----
----,-----,----
k,2
alpha/gamma,2
Hit Rate Avg,0.391762
Hit Rate STD,0.00642698
Precision Avg,0.383045
Precision STD,0.00644435
Recall Avg,0.383728
Recall STD,0.00561679
F1 Score Avg,0.383381
F1 Score STD,0.00586972
Default Process Time Avg,385685
Default Process Time STD,52589.7
KNN Total Time Avg,12844
KNN Total Time STD,439.034
KNN Per Image Time Avg,3
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,19686.4
Preprocess Dimension Time STD,2243.77
TC Time Avg,74.1
TC Time STD,7.99312
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2831,1,230,90,21,289,473,7,169,21,
1,0,4130,127,84,17,46,57,91,107,25,
2,239,121,1137,776,66,573,536,73,604,52,
3,95,75,751,1550,66,560,448,62,683,61,
4,22,25,74,61,1346,138,118,975,141,1172,
5,296,45,562,534,130,675,753,80,605,115,
6,482,64,540,437,124,707,929,83,671,100,
7,7,81,55,63,1001,81,75,1714,84,1240,
8,182,115,581,727,133,656,651,75,844,99,
9,30,28,60,58,1186,99,101,1216,112,1298,
----,-----,----
----,-----,----
k,3
alpha/gamma,2
Hit Rate Avg,0.406548
Hit Rate STD,0.00592781
Precision Avg,0.386885
Precision STD,0.00609111
Recall Avg,0.397868
Recall STD,0.00500652
F1 Score Avg,0.392295
F1 Score STD,0.00541866
Default Process Time Avg,385685
Default Process Time STD,52589.7
KNN Total Time Avg,12844
KNN Total Time STD,439.034
KNN Per Image Time Avg,3
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,19686.4
Preprocess Dimension Time STD,2243.77
TC Time Avg,74.1
TC Time STD,7.99312
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3086,1,210,89,21,247,357,7,102,12,
1,0,4328,94,66,11,30,37,37,68,13,
2,273,141,1266,770,70,558,484,68,503,44,
3,104,86,865,1632,77,509,406,59,565,48,
4,22,28,76,65,1628,137,110,952,125,929,
5,340,55,618,568,151,673,724,74,499,93,
6,568,66,588,469,144,716,887,74,547,78,
7,7,88,59,65,1182,77,67,1878,68,910,
8,208,135,652,779,150,658,634,67,697,83,
9,36,30,63,59,1433,95,94,1279,99,1000,
----,-----,----
