k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Hit Rate Avg,0.437595,0.437595,0.455,0.465976,0.476024,0.489595,0.501667,0.508048,0.513548,0.520024,0.524524,0.526429,0.528667,0.529214
Hit Rate STD,0.00492771,0.00492771,0.00389851,0.004777,0.00638859,0.00570863,0.00406927,0.00290886,0.00417475,0.00350526,0.00491827,0.00435851,0.00461647,0.00408914
Precision Avg,0.429117,0.429117,0.437248,0.450202,0.461201,0.4753,0.487702,0.494717,0.500558,0.507299,0.512494,0.514621,0.517292,0.517376
Precision STD,0.00487764,0.00487764,0.00436083,0.0046205,0.00599778,0.00575886,0.00431891,0.00283727,0.0045873,0.00310427,0.00417069,0.00305032,0.00336108,0.00253414
Recall Avg,0.429692,0.429692,0.446698,0.457782,0.467908,0.481634,0.493786,0.500308,0.505854,0.512302,0.516886,0.518778,0.521051,0.521562
Recall STD,0.00436556,0.00436556,0.00394367,0.00542981,0.00672556,0.00606261,0.00487419,0.00300612,0.0042131,0.0035701,0.00388289,0.0037425,0.00389862,0.00358918
F1 Score Avg,0.429404,0.429404,0.441921,0.453958,0.464529,0.478445,0.490724,0.497496,0.503191,0.509788,0.514679,0.51669,0.519164,0.51946
F1 Score STD,0.00459447,0.00459447,0.00409659,0.00493967,0.00631458,0.00586614,0.00453086,0.00280869,0.00433945,0.00329893,0.00396527,0.00334298,0.00357177,0.00303208
Default Process Time Avg,139038,139038,139038,139038,139038,139038,139038,139038,139038,139038,139038,139038,139038,139038
Default Process Time STD,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2
KNN Total Time Avg,16803,16803,16803,16803,16803,16803,16803,16803,16803,16803,16803,16803,16803,16803
KNN Total Time STD,3.09839,3.09839,3.09839,3.09839,3.09839,3.09839,3.09839,3.09839,3.09839,3.09839,3.09839,3.09839,3.09839,3.09839
KNN Per Image Time Avg,2,2,2,2,2,2,2,2,2,2,2,2,2,2
KNN Per Image Time STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preprocess Dimension Time Avg,1942.2,1942.2,1942.2,1942.2,1942.2,1942.2,1942.2,1942.2,1942.2,1942.2,1942.2,1942.2,1942.2,1942.2
Preprocess Dimension Time STD,18.3019,18.3019,18.3019,18.3019,18.3019,18.3019,18.3019,18.3019,18.3019,18.3019,18.3019,18.3019,18.3019,18.3019
TC Time Avg,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8
TC Time STD,0.748331,0.748331,0.748331,0.748331,0.748331,0.748331,0.748331,0.748331,0.748331,0.748331,0.748331,0.748331,0.748331,0.748331
