k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Hit Rate Avg,0.582929,0.582929,0.60119,0.616048,0.627167,0.642643,0.652976,0.658333,0.661762,0.666429,0.668643,0.670357,0.671881,0.673262
Hit Rate STD,0.0018001,0.0018001,0.00140658,0.00229042,0.00127642,0.000599508,0.00163577,0.00159719,0.000798241,0.00172845,0.00302915,0.002751,0.00266348,0.00246472
Precision Avg,0.576443,0.576443,0.587103,0.603534,0.616006,0.632401,0.643329,0.649007,0.652635,0.65756,0.659983,0.661765,0.663286,0.664736
Precision STD,0.00230128,0.00230128,0.00253211,0.0027712,0.00239844,0.00190278,0.00259038,0.00320246,0.00187251,0.00235135,0.00345585,0.00281563,0.00234485,0.00186991
Recall Avg,0.576272,0.576272,0.59387,0.60911,0.620474,0.636161,0.64667,0.652088,0.655501,0.660204,0.662376,0.664008,0.665526,0.666965
Recall STD,0.00280287,0.00280287,0.00198307,0.00232971,0.002106,0.00207433,0.00227192,0.00261919,0.00222342,0.00198088,0.00303409,0.0027753,0.00240061,0.00196171
F1 Score Avg,0.576357,0.576357,0.590466,0.606308,0.618232,0.634275,0.644994,0.650543,0.654064,0.658879,0.661177,0.662884,0.664404,0.665849
F1 Score STD,0.00248901,0.00248901,0.00217841,0.00248916,0.00218738,0.00188737,0.0023211,0.00283872,0.00194828,0.00209633,0.00321139,0.00275868,0.00232708,0.00186326
Default Process Time Avg,139038,139038,139038,139038,139038,139038,139038,139038,139038,139038,139038,139038,139038,139038
Default Process Time STD,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2,37298.2
KNN Total Time Avg,16802,16802,16802,16802,16802,16802,16802,16802,16802,16802,16802,16802,16802,16802
KNN Total Time STD,1.67332,1.67332,1.67332,1.67332,1.67332,1.67332,1.67332,1.67332,1.67332,1.67332,1.67332,1.67332,1.67332,1.67332
KNN Per Image Time Avg,2,2,2,2,2,2,2,2,2,2,2,2,2,2
KNN Per Image Time STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preprocess Dimension Time Avg,13083.6,13083.6,13083.6,13083.6,13083.6,13083.6,13083.6,13083.6,13083.6,13083.6,13083.6,13083.6,13083.6,13083.6
Preprocess Dimension Time STD,2468.78,2468.78,2468.78,2468.78,2468.78,2468.78,2468.78,2468.78,2468.78,2468.78,2468.78,2468.78,2468.78,2468.78
TC Time Avg,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2,92.2
TC Time STD,1.83303,1.83303,1.83303,1.83303,1.83303,1.83303,1.83303,1.83303,1.83303,1.83303,1.83303,1.83303,1.83303,1.83303
