k,1
alpha/gamma,3
Hit Rate Avg,0.582929
Hit Rate STD,0.0018001
Precision Avg,0.576443
Precision STD,0.00230128
Recall Avg,0.576272
Recall STD,0.00280287
F1 Score Avg,0.576357
F1 Score STD,0.00248901
Default Process Time Avg,139038
Default Process Time STD,37298.2
KNN Total Time Avg,16802
KNN Total Time STD,1.67332
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,13083.6
Preprocess Dimension Time STD,2468.78
TC Time Avg,92.2
TC Time STD,1.83303
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3207,1,107,92,26,334,70,7,254,34,
1,0,4286,83,40,29,26,34,60,101,25,
2,107,79,2049,208,146,214,986,25,331,32,
3,94,40,191,2539,29,692,34,61,591,80,
4,22,21,135,36,2357,36,101,234,53,1077,
5,334,38,217,680,49,1339,70,143,814,111,
6,60,29,1037,33,117,73,2626,8,139,15,
7,8,65,26,76,248,161,10,2776,141,890,
8,267,103,357,585,62,809,122,144,1499,115,
9,43,24,36,80,1037,119,10,911,123,1805,
----,-----,----
----,-----,----
k,2
alpha/gamma,3
Hit Rate Avg,0.582929
Hit Rate STD,0.0018001
Precision Avg,0.576443
Precision STD,0.00230128
Recall Avg,0.576272
Recall STD,0.00280287
F1 Score Avg,0.576357
F1 Score STD,0.00248901
Default Process Time Avg,139038
Default Process Time STD,37298.2
KNN Total Time Avg,16802
KNN Total Time STD,1.67332
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,13083.6
Preprocess Dimension Time STD,2468.78
TC Time Avg,92.2
TC Time STD,1.83303
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3207,1,107,92,26,334,70,7,254,34,
1,0,4286,83,40,29,26,34,60,101,25,
2,107,79,2049,208,146,214,986,25,331,32,
3,94,40,191,2539,29,692,34,61,591,80,
4,22,21,135,36,2357,36,101,234,53,1077,
5,334,38,217,680,49,1339,70,143,814,111,
6,60,29,1037,33,117,73,2626,8,139,15,
7,8,65,26,76,248,161,10,2776,141,890,
8,267,103,357,585,62,809,122,144,1499,115,
9,43,24,36,80,1037,119,10,911,123,1805,
----,-----,----
----,-----,----
k,3
alpha/gamma,3
Hit Rate Avg,0.60119
Hit Rate STD,0.00140658
Precision Avg,0.587103
Precision STD,0.00253211
Recall Avg,0.59387
Recall STD,0.00198307
F1 Score Avg,0.590466
F1 Score STD,0.00217841
Default Process Time Avg,139038
Default Process Time STD,37298.2
KNN Total Time Avg,16802
KNN Total Time STD,1.67332
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,13083.6
Preprocess Dimension Time STD,2468.78
TC Time Avg,92.2
TC Time STD,1.83303
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3449,0,82,90,24,252,45,7,162,21,
1,0,4406,65,38,14,23,28,24,67,19,
2,120,91,2347,186,143,197,783,21,264,25,
3,107,44,203,2774,33,566,28,64,478,54,
4,24,23,160,36,2655,33,83,218,46,794,
5,394,43,231,788,50,1331,63,148,661,86,
6,76,34,1238,30,119,64,2461,5,103,7,
7,8,76,27,75,275,175,10,3023,122,610,
8,306,116,396,655,71,852,108,142,1328,89,
9,53,28,35,85,1281,124,8,995,103,1476,
----,-----,----
----,-----,----
k,4
alpha/gamma,3
Hit Rate Avg,0.616048
Hit Rate STD,0.00229042
Precision Avg,0.603534
Precision STD,0.0027712
Recall Avg,0.60911
Recall STD,0.00232971
F1 Score Avg,0.606308
F1 Score STD,0.00248916
Default Process Time Avg,139038
Default Process Time STD,37298.2
KNN Total Time Avg,16802
KNN Total Time STD,1.67332
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,13083.6
Preprocess Dimension Time STD,2468.78
TC Time Avg,92.2
TC Time STD,1.83303
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3455,0,77,66,24,263,49,7,169,22,
1,0,4418,55,31,10,31,27,23,70,19,
2,118,76,2263,172,149,195,886,18,277,23,
3,94,37,164,2776,35,598,25,54,519,49,
4,18,22,132,23,2624,32,84,196,45,896,
5,353,42,206,726,52,1409,61,145,726,75,
6,70,32,1070,27,101,54,2670,5,102,6,
7,5,76,21,59,242,158,11,3034,113,682,
8,287,103,340,582,66,816,105,128,1538,98,
9,51,24,23,63,1170,108,7,962,93,1687,
----,-----,----
----,-----,----
k,5
alpha/gamma,3
Hit Rate Avg,0.627167
Hit Rate STD,0.00127642
Precision Avg,0.616006
Precision STD,0.00239844
Recall Avg,0.620474
Recall STD,0.002106
F1 Score Avg,0.618232
F1 Score STD,0.00218738
Default Process Time Avg,139038
Default Process Time STD,37298.2
KNN Total Time Avg,16802
KNN Total Time STD,1.67332
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,13083.6
Preprocess Dimension Time STD,2468.78
TC Time Avg,92.2
TC Time STD,1.83303
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3476,0,74,57,24,273,45,5,166,12,
1,0,4431,44,29,5,36,27,26,70,16,
2,117,70,2215,155,157,185,960,17,281,20,
3,79,32,151,2774,34,608,26,50,551,46,
4,16,23,120,17,2591,33,91,162,38,981,
5,343,43,188,678,52,1460,59,139,765,68,
6,76,33,982,15,87,48,2800,3,90,3,
7,6,76,18,48,218,143,10,3029,106,747,
8,272,98,302,535,62,784,98,124,1698,90,
9,49,24,25,61,1083,95,6,891,87,1867,
----,-----,----
----,-----,----
k,10
alpha/gamma,3
Hit Rate Avg,0.642643
Hit Rate STD,0.000599508
Precision Avg,0.632401
Precision STD,0.00190278
Recall Avg,0.636161
Recall STD,0.00207433
F1 Score Avg,0.634275
F1 Score STD,0.00188737
Default Process Time Avg,139038
Default Process Time STD,37298.2
KNN Total Time Avg,16802
KNN Total Time STD,1.67332
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,13083.6
Preprocess Dimension Time STD,2468.78
TC Time Avg,92.2
TC Time STD,1.83303
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
