k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hit Rate Avg,0.247357,0.247357,0.258952,0.261524,0.264333,0.271738,0.277286,0.281381,0.284286,0.287762,0.292214,0.294786,0.296357,0.297667
Hit Rate STD,0.00505828,0.00505828,0.00556624,0.00547484,0.0048061,0.00424892,0.00370802,0.00429668,0.00556756,0.007432,0.0066733,0.00631172,0.00703554,0.0060668
Precision Avg,0.24046,0.24046,0.241006,0.242294,0.241763,0.245747,0.24864,0.250122,0.251391,0.252288,0.255459,0.256551,0.256671,0.256571
Precision STD,0.00281431,0.00281431,0.00313127,0.0032236,0.00281822,0.00327397,0.00243433,0.00337402,0.00390022,0.00615073,0.00528714,0.00517533,0.00554556,0.00487761
Recall Avg,0.240307,0.240307,0.251317,0.253738,0.256353,0.263501,0.268814,0.272671,0.27536,0.278633,0.282809,0.285192,0.286491,0.287577
Recall STD,0.00289569,0.00289569,0.00343109,0.00336621,0.00297203,0.00294018,0.00170026,0.0016894,0.00273136,0.00444466,0.0037704,0.0035178,0.00417238,0.00339895
F1 Score Avg,0.240381,0.240381,0.246052,0.247883,0.248842,0.254312,0.25833,0.260906,0.262827,0.264801,0.268435,0.27011,0.270758,0.271186
F1 Score STD,0.00275148,0.00275148,0.00323641,0.00325781,0.00278238,0.00301217,0.0019503,0.00255515,0.00331352,0.00537222,0.00460001,0.0044296,0.00492203,0.00421619
Default Process Time Avg,150889,150889,150889,150889,150889,150889,150889,150889,150889,150889,150889,150889,150889,150889
Default Process Time STD,43040.7,43040.7,43040.7,43040.7,43040.7,43040.7,43040.7,43040.7,43040.7,43040.7,43040.7,43040.7,43040.7,43040.7
KNN Total Time Avg,16800.4,16800.4,16800.4,16800.4,16800.4,16800.4,16800.4,16800.4,16800.4,16800.4,16800.4,16800.4,16800.4,16800.4
KNN Total Time STD,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
KNN Per Image Time Avg,2,2,2,2,2,2,2,2,2,2,2,2,2,2
KNN Per Image Time STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preprocess Dimension Time Avg,661,661,661,661,661,661,661,661,661,661,661,661,661,661
Preprocess Dimension Time STD,24.8757,24.8757,24.8757,24.8757,24.8757,24.8757,24.8757,24.8757,24.8757,24.8757,24.8757,24.8757,24.8757,24.8757
TC Time Avg,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6
TC Time STD,0.489898,0.489898,0.489898,0.489898,0.489898,0.489898,0.489898,0.489898,0.489898,0.489898,0.489898,0.489898,0.489898,0.489898
