k,1
alpha/gamma,2
Hit Rate Avg,0.374857
Hit Rate STD,0.00293292
Precision Avg,0.366972
Precision STD,0.00261838
Recall Avg,0.366788
Recall STD,0.00312349
F1 Score Avg,0.366879
F1 Score STD,0.00280199
Default Process Time Avg,144993
Default Process Time STD,38390.3
KNN Total Time Avg,16800.6
KNN Total Time STD,0.8
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,1304
Preprocess Dimension Time STD,26.7806
TC Time Avg,61
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2514,2,369,124,15,295,503,10,264,36,
1,2,4020,106,72,48,67,79,91,129,70,
2,345,105,983,782,87,623,506,54,615,77,
3,121,70,724,1652,58,571,340,58,707,50,
4,17,45,84,42,1281,157,207,982,108,1149,
5,312,85,562,554,161,655,613,116,606,131,
6,509,71,524,372,179,595,978,108,650,151,
7,11,112,62,63,996,119,100,1612,90,1236,
8,258,112,638,642,104,659,631,88,845,86,
9,39,69,77,56,1187,115,155,1187,99,1204,
----,-----,----
----,-----,----
k,2
alpha/gamma,2
Hit Rate Avg,0.374857
Hit Rate STD,0.00293292
Precision Avg,0.366972
Precision STD,0.00261838
Recall Avg,0.366788
Recall STD,0.00312349
F1 Score Avg,0.366879
F1 Score STD,0.00280199
Default Process Time Avg,144993
Default Process Time STD,38390.3
KNN Total Time Avg,16800.6
KNN Total Time STD,0.8
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,1304
Preprocess Dimension Time STD,26.7806
TC Time Avg,61
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2514,2,369,124,15,295,503,10,264,36,
1,2,4020,106,72,48,67,79,91,129,70,
2,345,105,983,782,87,623,506,54,615,77,
3,121,70,724,1652,58,571,340,58,707,50,
4,17,45,84,42,1281,157,207,982,108,1149,
5,312,85,562,554,161,655,613,116,606,131,
6,509,71,524,372,179,595,978,108,650,151,
7,11,112,62,63,996,119,100,1612,90,1236,
8,258,112,638,642,104,659,631,88,845,86,
9,39,69,77,56,1187,115,155,1187,99,1204,
----,-----,----
----,-----,----
k,3
alpha/gamma,2
Hit Rate Avg,0.392238
Hit Rate STD,0.00345066
Precision Avg,0.373636
Precision STD,0.00317183
Recall Avg,0.383705
Recall STD,0.00425921
F1 Score Avg,0.378603
F1 Score STD,0.00369695
Default Process Time Avg,144993
Default Process Time STD,38390.3
KNN Total Time Avg,16800.6
KNN Total Time STD,0.8
KNN Per Image Time Avg,2
KNN Per Image Time STD,0
Preprocess Dimension Time Avg,1304
Preprocess Dimension Time STD,26.7806
TC Time Avg,61
TC Time STD,0
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2863,2,319,120,17,238,375,9,160,29,
1,2,4191,96,64,35,58,56,45,95,42,
2,405,119,1112,780,92,593,462,49,505,60,
3,139,87,834,1770,62,492,306,54,565,42,
4,18,51,92,42,1561,151,200,975,91,891,
5,367,93,618,587,183,638,577,106,510,116,
6,584,81,565,394,203,593,955,95,549,118,
7,11,123,65,63,1210,116,101,1718,80,914,
8,298,127,702,702,116,646,598,81,718,75,
9,42,77,79,56,1424,122,146,1209,85,948,
----,-----,----
----,-----,----
k,4
alpha/gamma,2
