k,1,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.25981,,,,,,,,,
Hit Rate STD,0.00319492,,,,,,,,,
Precision Avg,0.253873,,,,,,,,,
Precision STD,0.00202965,,,,,,,,,
Recall Avg,0.253714,,,,,,,,,
Recall STD,0.00245815,,,,,,,,,
F1 Score Avg,0.253792,,,,,,,,,
F1 Score STD,0.00213618,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2699,1,288,225,37,289,354,28,166,45
1,1,3334,56,56,149,24,31,641,56,336
2,280,56,556,568,408,488,597,349,486,389
3,237,51,537,675,414,530,590,397,542,378
4,58,187,408,421,534,346,391,620,513,594
5,296,25,517,543,367,479,575,252,437,304
6,387,35,574,643,361,511,593,261,470,302
7,19,546,373,346,587,275,258,797,424,776
8,161,57,482,541,455,431,463,424,561,488
9,39,314,374,387,597,288,303,704,498,684
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,2,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.25981,,,,,,,,,
Hit Rate STD,0.00319492,,,,,,,,,
Precision Avg,0.253873,,,,,,,,,
Precision STD,0.00202965,,,,,,,,,
Recall Avg,0.253714,,,,,,,,,
Recall STD,0.00245815,,,,,,,,,
F1 Score Avg,0.253792,,,,,,,,,
F1 Score STD,0.00213618,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2699,1,288,225,37,289,354,28,166,45
1,1,3334,56,56,149,24,31,641,56,336
2,280,56,556,568,408,488,597,349,486,389
3,237,51,537,675,414,530,590,397,542,378
4,58,187,408,421,534,346,391,620,513,594
5,296,25,517,543,367,479,575,252,437,304
6,387,35,574,643,361,511,593,261,470,302
7,19,546,373,346,587,275,258,797,424,776
8,161,57,482,541,455,431,463,424,561,488
9,39,314,374,387,597,288,303,704,498,684
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,3,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.270857,,,,,,,,,
Hit Rate STD,0.00473289,,,,,,,,,
Precision Avg,0.251926,,,,,,,,,
Precision STD,0.00283074,,,,,,,,,
Recall Avg,0.264002,,,,,,,,,
Recall STD,0.00350147,,,,,,,,,
F1 Score Avg,0.257819,,,,,,,,,
F1 Score STD,0.00302649,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,2959,1,249,200,30,250,276,24,117,26
1,1,3668,45,46,128,22,24,480,50,220
2,319,63,601,614,424,474,553,352,431,346
3,276,57,602,718,423,517,558,383,480,337
4,62,214,447,455,567,357,365,614,478,513
5,340,29,576,574,370,471,527,248,390,270
6,452,39,622,687,362,496,543,256,418,262
7,20,680,401,368,627,266,247,752,394,646
8,187,62,542,573,490,423,429,419,502,436
9,46,386,414,400,629,289,285,681,463,595
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,4,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.274881,,,,,,,,,
Hit Rate STD,0.00434939,,,,,,,,,
Precision Avg,0.255367,,,,,,,,,
Precision STD,0.00306447,,,,,,,,,
Recall Avg,0.267951,,,,,,,,,
Recall STD,0.00284328,,,,,,,,,
F1 Score Avg,0.261504,,,,,,,,,
F1 Score STD,0.00279502,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
