k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Hit Rate Avg,0.967833,0.967833,0.968714,0.970095,0.970548,0.970143,0.968571,0.966643,0.964119,0.959476,0.953786,0.948429,0.941905,0.935738
Hit Rate STD,0.00151598,0.00151598,0.0016208,0.00155292,0.00195557,0.00179031,0.00253658,0.0024157,0.00233843,0.00259141,0.00234182,0.00275862,0.00243859,0.00245296
Precision Avg,0.967968,0.967968,0.968991,0.97041,0.97087,0.970647,0.969227,0.967477,0.965118,0.960861,0.955742,0.950995,0.94518,0.939934
Precision STD,0.00153144,0.00153144,0.00156153,0.00155427,0.00193559,0.00175994,0.00249368,0.00235116,0.00220517,0.00247042,0.00222261,0.00250803,0.00221244,0.0021384
Recall Avg,0.967412,0.967412,0.968221,0.969638,0.970134,0.969742,0.968153,0.966205,0.963618,0.958863,0.95308,0.947683,0.941035,0.934723
Recall STD,0.00157394,0.00157394,0.00160941,0.00155714,0.00192151,0.00174443,0.00251479,0.00241804,0.0023756,0.00266104,0.00235346,0.00282963,0.00255474,0.00275166
F1 Score Avg,0.96769,0.96769,0.968606,0.970024,0.970502,0.970194,0.96869,0.96684,0.964367,0.959861,0.954409,0.949336,0.943103,0.937321
F1 Score STD,0.0015515,0.0015515,0.00158437,0.00155403,0.0019274,0.00175048,0.00250295,0.00238338,0.00228937,0.00256249,0.00227885,0.00266193,0.00237016,0.00242501
Default Process Time Avg,360025,360025,360025,360025,360025,360025,360025,360025,360025,360025,360025,360025,360025,360025
Default Process Time STD,45357.7,45357.7,45357.7,45357.7,45357.7,45357.7,45357.7,45357.7,45357.7,45357.7,45357.7,45357.7,45357.7,45357.7
KNN Total Time Avg,112896,112896,112896,112896,112896,112896,112896,112896,112896,112896,112896,112896,112896,112896
KNN Total Time STD,3554.64,3554.64,3554.64,3554.64,3554.64,3554.64,3554.64,3554.64,3554.64,3554.64,3554.64,3554.64,3554.64,3554.64
KNN Per Image Time Avg,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2
KNN Per Image Time STD,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Preprocess Dimension Time Avg,168653,168653,168653,168653,168653,168653,168653,168653,168653,168653,168653,168653,168653,168653
Preprocess Dimension Time STD,16724.2,16724.2,16724.2,16724.2,16724.2,16724.2,16724.2,16724.2,16724.2,16724.2,16724.2,16724.2,16724.2,16724.2
TC Time Avg,6490.2,6490.2,6490.2,6490.2,6490.2,6490.2,6490.2,6490.2,6490.2,6490.2,6490.2,6490.2,6490.2,6490.2
TC Time STD,144.739,144.739,144.739,144.739,144.739,144.739,144.739,144.739,144.739,144.739,144.739,144.739,144.739,144.739
