k,1,2,3,4,5,10,15,20,25,50,75,100,150,200
alpha/gamma,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hit Rate Avg,0.921595,0.921595,0.92781,0.933524,0.934405,0.935905,0.935643,0.934643,0.933262,0.930119,0.926952,0.923833,0.919667,0.9155
Hit Rate STD,0.00268172,0.00268172,0.0019381,0.0017619,0.00172845,0.0015642,0.00188622,0.00215604,0.00161589,0.00151523,0.00150321,0.00150848,0.00210064,0.00178079
Precision Avg,0.920475,0.920475,0.926806,0.932567,0.933501,0.935094,0.934899,0.933942,0.932571,0.929495,0.926462,0.923407,0.919418,0.915442
Precision STD,0.00255267,0.00255267,0.00192765,0.00181428,0.00178077,0.00167553,0.00192003,0.002202,0.00164041,0.00156772,0.00153351,0.00157988,0.00216486,0.00180681
Recall Avg,0.920547,0.920547,0.926705,0.93259,0.933588,0.935144,0.934839,0.933848,0.932464,0.929298,0.926054,0.922892,0.918683,0.914446
Recall STD,0.00267577,0.00267577,0.00205697,0.00190975,0.0018323,0.00172405,0.00198059,0.00220226,0.00163896,0.00160272,0.00159617,0.00159703,0.00216841,0.00169752
F1 Score Avg,0.920511,0.920511,0.926755,0.932579,0.933544,0.935119,0.934869,0.933895,0.932517,0.929396,0.926258,0.92315,0.91905,0.914944
F1 Score STD,0.00261264,0.00261264,0.001992,0.00186169,0.00180522,0.001698,0.00194935,0.00220171,0.00163918,0.00158451,0.00156193,0.00158438,0.00216229,0.00174627
Default Process Time Avg,330655,330655,330655,330655,330655,330655,330655,330655,330655,330655,330655,330655,330655,330655
Default Process Time STD,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5,24775.5
KNN Total Time Avg,25561.8,25561.8,25561.8,25561.8,25561.8,25561.8,25561.8,25561.8,25561.8,25561.8,25561.8,25561.8,25561.8,25561.8
KNN Total Time STD,641.091,641.091,641.091,641.091,641.091,641.091,641.091,641.091,641.091,641.091,641.091,641.091,641.091,641.091
KNN Per Image Time Avg,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
KNN Per Image Time STD,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Preprocess Dimension Time Avg,91326.6,91326.6,91326.6,91326.6,91326.6,91326.6,91326.6,91326.6,91326.6,91326.6,91326.6,91326.6,91326.6,91326.6
Preprocess Dimension Time STD,8985.69,8985.69,8985.69,8985.69,8985.69,8985.69,8985.69,8985.69,8985.69,8985.69,8985.69,8985.69,8985.69,8985.69
TC Time Avg,338.2,338.2,338.2,338.2,338.2,338.2,338.2,338.2,338.2,338.2,338.2,338.2,338.2,338.2
TC Time STD,13.8766,13.8766,13.8766,13.8766,13.8766,13.8766,13.8766,13.8766,13.8766,13.8766,13.8766,13.8766,13.8766,13.8766
