k,1
alpha/gamma,5
Hit Rate Avg,0.688143
Hit Rate STD,0.00400581
Precision Avg,0.68391
Precision STD,0.00344442
Recall Avg,0.684325
Recall STD,0.00364601
F1 Score Avg,0.684118
F1 Score STD,0.00353749
Default Process Time Avg,410524
Default Process Time STD,29550.9
KNN Total Time Avg,22808.8
KNN Total Time STD,2622.58
KNN Per Image Time Avg,2.2
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,3741.4
Preprocess Dimension Time STD,453.448
TC Time Avg,299.8
TC Time STD,104.519
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3625,1,93,48,21,127,81,4,107,25,
1,1,4414,24,36,22,12,34,44,62,35,
2,83,35,2642,137,89,90,848,38,201,14,
3,48,62,142,2772,33,563,50,42,562,77,
4,16,23,91,27,2365,34,167,298,69,982,
5,124,13,81,545,40,2398,88,121,281,104,
6,76,56,787,50,164,87,2724,25,140,28,
7,8,76,26,33,303,102,29,3210,95,519,
8,116,77,162,505,70,248,144,85,2532,124,
9,30,41,19,65,1016,97,26,544,130,2220,
----,-----,----
----,-----,----
k,2
alpha/gamma,5
Hit Rate Avg,0.688143
Hit Rate STD,0.00400581
Precision Avg,0.68391
Precision STD,0.00344442
Recall Avg,0.684325
Recall STD,0.00364601
F1 Score Avg,0.684118
F1 Score STD,0.00353749
Default Process Time Avg,410524
Default Process Time STD,29550.9
KNN Total Time Avg,22808.8
KNN Total Time STD,2622.58
KNN Per Image Time Avg,2.2
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,3741.4
Preprocess Dimension Time STD,453.448
TC Time Avg,299.8
TC Time STD,104.519
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3625,1,93,48,21,127,81,4,107,25,
1,1,4414,24,36,22,12,34,44,62,35,
2,83,35,2642,137,89,90,848,38,201,14,
3,48,62,142,2772,33,563,50,42,562,77,
4,16,23,91,27,2365,34,167,298,69,982,
5,124,13,81,545,40,2398,88,121,281,104,
6,76,56,787,50,164,87,2724,25,140,28,
7,8,76,26,33,303,102,29,3210,95,519,
8,116,77,162,505,70,248,144,85,2532,124,
9,30,41,19,65,1016,97,26,544,130,2220,
----,-----,----
----,-----,----
k,3
alpha/gamma,5
Hit Rate Avg,0.702952
Hit Rate STD,0.00366806
Precision Avg,0.697455
Precision STD,0.00341974
Recall Avg,0.698851
Recall STD,0.00331208
F1 Score Avg,0.698153
F1 Score STD,0.0033581
Default Process Time Avg,410524
Default Process Time STD,29550.9
KNN Total Time Avg,22808.8
KNN Total Time STD,2622.58
KNN Per Image Time Avg,2.2
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,3741.4
Preprocess Dimension Time STD,453.448
TC Time Avg,299.8
TC Time STD,104.519
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3732,1,74,43,20,99,60,3,88,12,
1,1,4502,22,31,12,13,25,17,41,20,
2,94,40,2913,119,86,79,657,26,154,9,
3,55,72,158,2997,32,440,51,35,461,50,
4,16,25,102,27,2703,26,145,254,55,719,
5,149,15,91,635,45,2404,66,104,214,72,
6,87,65,931,41,179,90,2613,16,102,13,
7,8,83,28,34,354,115,28,3293,82,376,
8,132,92,190,547,77,264,139,85,2442,95,
9,33,42,20,80,1234,96,26,604,128,1925,
----,-----,----
----,-----,----
k,4
alpha/gamma,5
Hit Rate Avg,0.721929
Hit Rate STD,0.00372784
Precision Avg,0.717274
Precision STD,0.00333695
Recall Avg,0.718512
Recall STD,0.00322474
F1 Score Avg,0.717892
F1 Score STD,0.00327483
Default Process Time Avg,410524
Default Process Time STD,29550.9
KNN Total Time Avg,22808.8
KNN Total Time STD,2622.58
KNN Per Image Time Avg,2.2
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,3741.4
Preprocess Dimension Time STD,453.448
TC Time Avg,299.8
TC Time STD,104.519
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3735,1,68,40,19,102,60,3,93,11,
1,0,4497,21,29,9,13,29,15,48,23,
