k,1
alpha/gamma,5
Hit Rate Avg,0.765524
Hit Rate STD,0.0082491
Precision Avg,0.761848
Precision STD,0.0076881
Recall Avg,0.762342
Recall STD,0.00779618
F1 Score Avg,0.762095
F1 Score STD,0.00773833
Default Process Time Avg,410524
Default Process Time STD,29550.9
KNN Total Time Avg,22041
KNN Total Time STD,2934.63
KNN Per Image Time Avg,2.2
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,54010.4
Preprocess Dimension Time STD,3901.7
TC Time Avg,186.6
TC Time STD,13.4848
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3729,0,62,32,19,108,69,3,88,22,
1,0,4427,54,29,17,35,15,24,59,24,
2,72,70,3243,184,77,74,186,83,156,32,
3,44,39,189,2802,17,454,26,49,646,85,
4,12,27,77,12,2778,44,114,46,36,926,
5,124,33,68,463,43,2576,91,59,275,63,
6,53,19,170,25,99,93,3610,1,56,11,
7,5,38,86,60,45,60,1,3782,34,290,
8,81,90,147,565,48,248,60,30,2651,143,
9,29,28,41,70,932,69,16,286,163,2554,
----,-----,----
----,-----,----
k,2
alpha/gamma,5
Hit Rate Avg,0.765524
Hit Rate STD,0.0082491
Precision Avg,0.761848
Precision STD,0.0076881
Recall Avg,0.762342
Recall STD,0.00779618
F1 Score Avg,0.762095
F1 Score STD,0.00773833
Default Process Time Avg,410524
Default Process Time STD,29550.9
KNN Total Time Avg,22041
KNN Total Time STD,2934.63
KNN Per Image Time Avg,2.2
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,54010.4
Preprocess Dimension Time STD,3901.7
TC Time Avg,186.6
TC Time STD,13.4848
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3729,0,62,32,19,108,69,3,88,22,
1,0,4427,54,29,17,35,15,24,59,24,
2,72,70,3243,184,77,74,186,83,156,32,
3,44,39,189,2802,17,454,26,49,646,85,
4,12,27,77,12,2778,44,114,46,36,926,
5,124,33,68,463,43,2576,91,59,275,63,
6,53,19,170,25,99,93,3610,1,56,11,
7,5,38,86,60,45,60,1,3782,34,290,
8,81,90,147,565,48,248,60,30,2651,143,
9,29,28,41,70,932,69,16,286,163,2554,
----,-----,----
----,-----,----
k,3
alpha/gamma,5
Hit Rate Avg,0.782857
Hit Rate STD,0.00846729
Precision Avg,0.77864
Precision STD,0.00824662
Recall Avg,0.779638
Recall STD,0.00815155
F1 Score Avg,0.779139
F1 Score STD,0.00819324
Default Process Time Avg,410524
Default Process Time STD,29550.9
KNN Total Time Avg,22041
KNN Total Time STD,2934.63
KNN Per Image Time Avg,2.2
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,54010.4
Preprocess Dimension Time STD,3901.7
TC Time Avg,186.6
TC Time STD,13.4848
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3840,0,46,29,19,79,43,2,64,10,
1,0,4507,38,23,11,30,10,10,38,17,
2,79,80,3412,128,69,64,158,60,104,23,
3,51,42,214,3022,17,369,21,51,508,56,
4,12,29,88,12,3159,41,82,39,25,585,
5,141,37,74,527,44,2621,75,44,192,40,
6,63,20,188,25,111,102,3592,0,32,4,
7,6,47,90,62,58,73,0,3837,24,204,
8,88,97,163,629,59,274,51,32,2568,102,
9,32,32,44,79,1133,66,13,308,159,2322,
----,-----,----
----,-----,----
k,4
alpha/gamma,5
Hit Rate Avg,0.799762
Hit Rate STD,0.00545025
Precision Avg,0.795469
Precision STD,0.0050178
Recall Avg,0.797146
Recall STD,0.00505845
F1 Score Avg,0.796307
F1 Score STD,0.00503695
Default Process Time Avg,410524
Default Process Time STD,29550.9
KNN Total Time Avg,22041
KNN Total Time STD,2934.63
KNN Per Image Time Avg,2.2
KNN Per Image Time STD,0.4
Preprocess Dimension Time Avg,54010.4
Preprocess Dimension Time STD,3901.7
TC Time Avg,186.6
TC Time STD,13.4848
----,Confusion,----
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3836,0,46,23,19,81,45,3,70,9,
1,0,4505,36,20,8,30,14,10,44,17,
